publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Writing Jazz: Race, Nationalism, and Modern Culture in the 1920s"	"9780815322269"	"9781136712968"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781136712968&uid=none"						"Taylor & Francis"											"http://www.askewsandholts.com/EBookImages/9781136712968.jpg"	
"Colonialism and transnational psychiatry: the development of an Indian mental hospital in British India, c. 1925-1940"	"9780857280190"	"9780857280800"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857280800&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857280800.jpg"	
"Philosophy and anthropology: border crossing and transformations"	"9780857285126"	"9780857280817"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857280817&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857280817.jpg"	
"Darwin, Tennyson and their readers: explorations in Victorian literature and science"	"9780857280763"	"9780857280824"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857280824&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857280824.jpg"	
"Glacial systems and landforms: a virtual interactive experience"	"9780857280619"	"9780857280893"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857280893&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857280893.jpg"	
"The politics of time and youth in brand India: bargaining with capital"	"9780857281098"	"9780857281135"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857281135&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857281135.jpg"	
"Quakernomics: an ethical capitalism"	"9780857281128"	"9780857281166"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857281166&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857281166.jpg"	
"Connecting ICTs to development: the IDRC experience"	"9780857281241"	"9780857281364"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857281364&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857281364.jpg"	
"Tales of the Ghost Sword"	""	"9780857281395"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857281395&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857281395.jpg"	
"Lost Souls, Sacred Creatures"	""	"9780857281401"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857281401&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857281401.jpg"	
