"Title"	"Author(s)"	"Editor(s)"	"Importance"	"ISBN10"	"ISBN13"	"Date of Publication"	"Publisher"	"Web Address"	"Time Period"	"CKEY"
"Handbook of life-course criminology: emerging trends and directions for future research"	"Krohn; Marvin D."		"Essential reading"		9781461451136	2012	"Springer New York"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1030297"	1516	
"The SAGE handbook of fieldwork"	"Hobbs; Dick; Wright; Richard"		"Essential reading"		9781446206966	2006	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1046417"	1516	
"The really useful book of ICT in the early years"	"Price; Harriet"		"Essential reading"	415434181	9780415434188	2009	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1074909"	1516	
"Spatiality"	"Tally Jr; Robert T."		"Essential reading"		9781136181887	2012	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1075186"	1516	
"Temporalities"	"West-Pavlov; Russell"		"Essential reading"		9781136259944	2012	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1092760"	1516	
"Multilevel modeling of categorical outcomes using IBM SPSS"	"Heck; Ronald H.; Thomas; Scott; Tabata; Lynn"		"Items for purchase"		9781136672354	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1092838"	1516	
"The intensification and reorientation of Sunni Jihad ideology in the Crusader period"	"Mourad; Suleiman; Lindsay; James"		"Essential reading"		9789004242791	2012	"BRILL"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1107996"	1516	
"Clinical nutrition"	"Elia; Marinos; Ljungqvist; Olle; Stratton; Rebecca; Lanham-New; Susan A."		"Essential reading"		9781118457740	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1152684"	1516	
"Exploring the social impacts of events"	"Richards; Greg; de Brito; Marisa; Wilks; Linda"		"Essential reading"		9781136264504	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1154292"	1516	
"Modern social imaginaries"	"Taylor; Charles; Gaonkar; Dilip Parameshwar; Kramer; Jane"		"Essential reading"		9780822385806	2003	"Duke University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1168038"	1516	
"Differential diagnosis and treatment of children with speech disorder"	"Dodd; Barbara"		"Essential reading"		9781118713334	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1209772"	1516	
"Reshaping retail: why technology is transforming the industry and how to win in the new consumer driven world"	"Niemeier; Stefan; Zocchi; Andrea; Catena; Marco"		"Essential reading"		9781118698884	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1211890"	1516	
"The Routledge companion to critical and cultural theory"	"Wake; Paul Francis; Malpas; Simon"		"Items for purchase"		9781134123278	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1221495"	1516	
"Learning through theatre: the changing face of theatre in education"	"Jackson; Anthony; Vine; Chris"		"Essential reading"		9781136300288	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1318933"	1516	
"Power, politics and international events: socio-cultural analyses of festivals and spectacles"	"Merkel; Udo"		"Essential reading"		9781136250231	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1323281"	1516	
"Design anthropology: theory and practice"	"Gunn; Wendy; Otto; Ton; Smith; Rachel Charlotte"		"Essential reading"		9781472518231	2013	"Bloomsbury Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1334415"	1516	
"Fashion and art"	"Geczy; Adam; Karaminas; Vicki"		"Essential reading"		9780857852137	2013	"Bloomsbury Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1335917"	1516	
"How to watch television"	"Thompson; Ethan; Mittell; Jason"		"Essential reading"		9780814729465	2013	"NYU Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1336355"	1516	
"Romanticism and gender"	"Mellor; Anne K."		"Essential reading"		9781136040306	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1337504"	1516	
"The online journalism handbook: skills to survive and thrive in the digital age"	"Bradshaw; Paul; Rohumaa; Liisa"		"Essential reading"		9781317864110	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1397483"	1516	
"Cultural geographies: an introduction"	"Horton; John; Kraftl; Peter"		"Essential reading"		9781317753681	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1461183"	1516	
"The biology of peatlands"	"Rydin; HaÌŠkan; Jeglum; John K."		"Essential reading"		9780191508288	2013	"Oxford University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1480939"	1516	
"Subediting and production for journalists: print, digital & social"	"Hicks; Wynford; Holmes; Tim"		"Items for purchase"		9781136369858	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1486975"	1516	
"An introduction to foreign language learning and teaching"	"Johnson; Keith"		"Essential reading"		9781317865377	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1521110"	1516	
"Hospitality and tourism: synergizing creativity and innovation in research"	"Sumarjan; Norzuwana; Mohd Salehuddin Mohd; Zahari; Salleh Mohd; Radzi; Zurinawati; Mohi; Mohd Hafiz Mohd; Hanafiah"		"Essential reading"		9781315798233	2013	"CRC Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1550656"	1516	
"Mollison's blood transfusion in clinical medicine"	"Klein; Harvey G.; Anstee; David J."		"Essential reading"		9781118689950	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1564109"	1516	
"Rum Seljuqs: evolution of a dynasty"	"Mecit; Songul"		"Essential reading"		9781134508990	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1576081"	1516	
"Yellow &amp; blue"	"Clark; Thomas A."		"Essential reading"		9781847775252	2014	"Carcanet"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1580762"	1516	
"Fashion, design and events"	"Williams; Kim; Laing; Jennifer; Frost; Warwick"		"Essential reading"		9781136238888	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1582668"	1516	
"Digital media ethics"	"Ess; Charles"		"Essential reading"		9780745672410	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1583672"	1516	
"Sustainable food systems: building a new paradigm"	"Marsden; Terry; Morley; Adrian"		"Essential reading"		9781136185410	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1600473"	1516	
"Social statistics: managing data, conducting analyses, presenting results"	"Linneman; Thomas J."		"Essential reading"			2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1613742"	1516	
"Liquid metal: the Science Fiction film reader"	"Redmond; Sean"		"Items for purchase"		9780231501842	2014	"Columbia University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1634864"	1516	
"Learning to teach in the primary school"	"Cremin; Teresa; Arthur; James"		"Items for purchase"		"9780415818193; 9780415818186"	2014	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1638640"	1516	
"The social psychology of behaviour in small groups"	"Pennington; Donald C."		"Essential reading"		9781317724612	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1639407"	1516	
"Practical food safety: contemporary issues and future directions"	"Bhat; Rajeev; Gomez-Lopez; Vicente M."		"Essential reading"		9781118474570	2014	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1655929"	1516	
"The routledge handbook of hospitality management"	"Pantelidis; Ioannis S."		"Essential reading"		9781317804246	2014	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1659175"	1516	
"Fashion theory: an introduction"	"Barnard; Malcolm"		"Essential reading"		9781135190002	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1659188"	1516	
"Muslim Spain reconsidered: from 711 to 1502"	"Hitchcock; Richard"		"Essential reading"		9780748678297	2014	"Edinburgh University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1661286"	1516	
"Food processing: principles and applications"	"Clark; Stephanie; Jung; Stephanie; Lamsal; Buddhi"		"Essential reading"		9781118846292	2014	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1662196"	1516	
"Handbook of qualitative research in communication disorders"	"Ball; Martin J.; MuÌˆller; Nicole; Nelson; Ryan L."		"Essential reading"		9781134187416	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1673619"	1516	
"A guide to ethics and public policy: finding our way"	"Welch; D. Don"		"Essential reading"		9781317746485	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1675946"	1516	
"Human resource management in the hospitality and tourism industry"	"Riley; Michael"		"Essential reading"		9781317856252	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1679738"	1516	
"Syntactic theory: a unified approach"	"Borsley; Robert"		"Essential reading"		9781317858959	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1679752"	1516	
"Imperialism and postcolonialism"	"Bush; Barbara"		"Essential reading"		9781317870111	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1694359"	1516	
"Women and law: critical feminist perspectives"	"Kannabiran; Kalpana"		"Essential reading"		9788132118688	2013	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1698975"	1516	
"The arts and events"	"Du Cros; Hilary; Jolliffe; Lee"		"Essential reading"		9780415833943	2014	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1699269"	1516	
"The harbour beyond the movie"	"Kennard; Luke"		"Essential reading"		9781844717828	2010	"Salt Publishing Limited"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1708740"	1516	
"Strategic integrated marketing communications"	"Percy; Larry"		"Essential reading"		9781136776205	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1721034"	1516	
"Management of spinal cord injuries: a guide for physiotherapists"	"Harvey; Lisa"		"Essential reading"		9780702036156	2008	"Elsevier Health Sciences UK"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1721206"	1516	
"Clinical biochemistry: an illustrated colour text"	"Gaw; Allan; Murphy; Michael J.; Srivastava; Rajeev; Cowan; Robert A.; O'Reilly; Denis St. J."		"Essential reading"		9780702054143	2013	"Elsevier Health Sciences UK"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1724149"	1516	
"Clinical biochemistry: metabolic and clinical aspects"	"Marshall; William J.; Lapsley; MaÌrta; Day; Andrew; Ayling; Ruth"		"Essential reading"		9780702054785	2014	"Elsevier Health Sciences UK"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1746466"	1516	
"Food consumption in global perspective: essays in the anthropology of food in honour of Jack Goody"	"Klein; Jakob A.; Murcott; Anne"		"Essential reading"		9781137326416	2014	"Palgrave Macmillan"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1765624"	1516	
"Understanding and responding to the experience of disability"	"Porter; Jill"		"Essential reading"		9781317650911	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1766872"	1516	
"The why of the buy: consumer behavior and fashion marketing"	"Mink Rath; Patricia; Bay; Stefani; Petrizzi; Richard; Gill; Penny"		"Essential reading"		9781609019914	2014	"Bloomsbury Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1775285"	1516	
"Altitude experience: successful trekking and climbing above 8,000 feet"	"Farris; Mike"		"Essential reading"		9780762751785	2008	"Falcon Guides"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1780461"	1516	
"Fantasy freaks and gaming geeks: an epic quest for reality among role players, online gamers, and other dwellers of imaginary realms"	"Gilsdorf; Ethan"		"Essential reading"		9780762766789	2010	"Lyons Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1782279"	1516	
"The Routledge handbook of Hispanic applied linguistics"	"Lacorte; Manel"		"Essential reading"		9781134691418	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1791294"	1516	
"Anglo-American relations in the twentieth century: the policy and diplomacy of friendly superpowers"	"Dobson; Alan"		"Essential reading"		9780203200490	2002	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=180034"	1516	
"On the meaning of life"	"Cottingham; John"		"Essential reading"		9780203164242	2003	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=180524"	1516	
"Dementia: practical advice for families, professionals, and people living with dementia and Alzheimer's Disease"	"Andrews; June"		"Essential reading"		9781847659910	2015	"Profile Books"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1809783"	1516	
"Academic writing: a handbook for international students"	"Bailey; Stephen"		"Essential reading"		9781317668022	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1811067"	1516	
"Medieval Muslim historians and the Franks in the Levant"	"Mallett; Alex"		"Essential reading"		9789004280687	2014	"BRILL"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1815762"	1516	
"Creating democratic citizenship through drama education: the writings of Jonothan Neelands"	"Booth; David; Sexton; Juliana"		"Essential reading"		9781858567587	2010	"Institute of Education Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1816074"	1516	
"Exploring community festivals and events"	"Jepson; Allan; Clarke; Alan"		"Essential reading"		9781317690856	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1818180"	1516	
"Brands: the logos of the global economy"	"Lury; Celia"		"Essential reading"		9780203495025	2004	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=182219"	1516	
"Critical thinking: a concise guide"	"Bowell; Tracy; Kemp; Gary"		"Essential reading"		9781317677185	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1826706"	1516	
"Rituals and traditional events in the modern world"	"Laing; Jennifer; Frost; Warwick"		"Essential reading"		9781134593132	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1829366"	1516	
"Drug calculations for nurses: a step-by-step approach"	"Lapham; Robert"		"Essential reading"		9781482248456	2015	"CRC Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1835565"	1516	
"Palgrave dictionary of public order policing, protest and political violence"	"Joyce; Peter; Wain; Neil"		"Essential reading"		9781137270085	2014	"Palgrave Macmillan"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1837233"	1516	
"Focus on festivals: contemporary European case studies and perspectives"	"Newbold; Chris; Maughan; Christopher; Jordan; Jennie; Bianchini; Franco"		"Essential reading"		9781910158173	2015	"Goodfellow Publishers Ltd"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1839925"	1516	
"Leather fashion design"	"Sterlacci Purvin; Francesca"		"Essential reading"		9781780670829	2010	"Laurence King Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1876096"	1516	
"Marketing fashion"	"Posner; Harriet"		"Essential reading"		9781780670836	2011	"Laurence King Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1876102"	1516	
"How to create your final collection: a fashion student's handbook"	"Atkinson; Mark"		"Essential reading"		9781780671864	2012	"Laurence King Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1876124"	1516	
"Fabric for fashion: the complete guide"	"Hallett; Clive; Johnston; Amanda"		"Essential reading"		9781780674216	2014	"Laurence King Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1876171"	1516	
"Fashion design research"	"Mbonu; Ezinma"		"Essential reading"		9781780671796	2014	"Laurence King Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1876191"	1516	
"The Crusade indulgence: spiritual rewards and the theology of the Crusades, c. 1095-1216"	"Bysted; Ane"		"Essential reading"		9789004282841	2014	"BRILL"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1877203"	1516	
"Doing educational research"	"Opie; Clive"		"Items for purchase"		9781473914032	2004	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1888065"	1516	
"Doing educational research: a guide to first-time researchers"	"Opie, Clive; Sikes, Patricia J."		"Essential reading"	"0761970029; 0761970010"		2004	"Sage Publications; SAGE"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1888065"	1516	
"Ain't I a woman: black women and feminism"	"hooks; bell"		"Essential reading"		9781317588610	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1899877"	1516	
"Laws"	"Jowett; Benjamin; Plato"		"Essential reading"		9780486149578	2013	"Dover Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1900244"	1516	
"Unity game development scripting"	"D'Aoust; Kyle"		"Essential reading"		9781783553648	2014	"Packt Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1910117"	1516	
"Excellence in dementia care: research into practice"	"Downs; Murna; Bowers; Barbara"		"Essential reading"		9780335245345	2014	"McGraw-Hill Education"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1910214"	1516	
"The Good Research Guide: For Small Scale Research Projects"	"Denscombe; Martyn"		"Essential reading"		9780335264704	2014	"Open University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1910221"	1516	
"The good research guide: for small-scale social research projects"	"Denscombe; Martyn"		"Essential reading"		9780335264711	2014	"McGraw-Hill Education"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1910221"	1516	
"Oxford textbook of palliative nursing"	"Ferrell; Betty R.; Coyle; Nessa; Paice; Judith"		"Essential reading"		9780199332359	2014	"Oxford University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1911601"	1516	
"Ideological, social and cultural aspects of events"	"Moufakkir; O.; Pernecky; T."		"Essential reading"		9781780643533	2014	"CABI"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1920584"	1516	
"Succeeding with your master's dissertation: a step-by-step handbook"	"Biggam; John"		"Essential reading"		9780335264490	2015	"McGraw-Hill Education"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1920721"	1516	
"Green logistics: improving the environmental sustainability of logistics"	"McKinnon; Alan; Browne; Michael; Whiteing; Anthony; Piecyk; Maja"		"Essential reading"		9780749471866	2015	"Kogan Page"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1931712"	1516	
"Social media marketing in tourism and hospitality"	"Minazzi; Roberta"		"Essential reading"		9783319051826	2014	"Springer International Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1965141"	1516	
"Dara (NHB modern plays)"	"Nadeem; Shahid; Ronder; Tanya"		"Essential reading"		9781780015606	2015	"Nick Hern Books"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1977278"	1516	
"Unlocking company law"	"McLaughlin; Susan"		"Essential reading"		9781317666493	2015	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1983464"	1516	
"Identity discourses and communities in international events, festivals and spectacles"	"Merkel; Udo"		"Essential reading"		9781137394934	2015	"Palgrave Macmillan"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1986768"	1516	
"BBC and television genres in jeopardy"	"Tunstall; Jeremy"		"Essential reading"		9783035306873	2015	"Peter Lang AG, Internationaler Verlag der Wissenschaften"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1987249"	1516	
"Time travel in popular media: essays on film, television, literature and video games"	"Jones; Matthew; Ormrod; Joan"		"Essential reading"		9781476620084	2015	"McFarland & Company, Inc., Publishers"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1992085"	1516	
"The death of God and the meaning of life"	"Young; Julian"		"Essential reading"		9780203480861	2004	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=199892"	1516	
"Cultural industries and the production of culture"	"Power; Dominic; Scott; Allen J."		"Essential reading"		9780203392263	2004	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=200618"	1516	
"Principles of retailing"	"Fernie; John; Fernie; Suzanne; Moore; Christopher"		"Essential reading"		9781317648291	2015	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=2033997"	1516	
"Learning to teach physical education in the secondary school: a companion to school experience"	"Capel; Susan; Whitehead; Margaret"		"Essential reading"		9781317663584	2015	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=2034025"	1516	
"How to make great radio: techniques and tips for today's broadcasters and producers"	"Lloyd; David"		"Essential reading"		9781849549349	2015	"Biteback Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=2039808"	1516	
"Cultural mapping as cultural inquiry"	"Duxbury; Nancy; Garrett-Petts; W.F.; MacLennan; David"		"Essential reading"		9781317588016	2015	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=2057993"	1516	
"Textiles for sportswear"	"Shishoo; Roshan"		"Essential reading"		9781782422365	2015	"Elsevier Science"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=2059935"	1516	
"Introduction to dental materials"	"Van Noort; Richard"		"Essential reading"		9780723437819	2014	"Elsevier Health Sciences UK"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=2072099"	1516	
"Field techniques in glaciology and glacial geomorphology"	"Hubbard; Bryn; Glasser; Neil F."		"Essential reading"		9780470015162	2005	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=232679"	1516	
"Good to talk?: living and working in a communication culture"	"Cameron; Deborah"		"Essential reading"		9781412931557	2000	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=254678"	1516	
"The employment relationship"	"Sparrow; Paul; Cooper; Cary L."		"Items for purchase"		9780080474571	2012	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=288835"	1516	
"Monitoring for a sustainable tourism transition: the challenge of developing and using indicators"	"Ward; G. Miller and L. Twining; Twining-Ward; Louise"		"Essential reading"		9781845930899	2005	"CABI"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=289437"	1516	
"Tourism and development in mountain regions"	"Godde; P.; Price; M.; Zimmermann; F.M."		"Essential reading"		9780851999159	2000	"CABI"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=292100"	1516	
"Mastering people management"	"Thomas; Mark"		"Items for purchase"		9781854184344	2007	"Thorogood Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=308997"	1516	
"Museums and their communities"	"Watson; Sheila"		"Essential reading"		9780203944752	2007	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=322943"	1516	
"Dilemmas of Difference, Inclusion and Disability: International Perspectives and Future Directions"	"Norwich; Brahm"		"Essential reading"		9780203938867	2007	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=325030"	1516	
"International criminology: a critical introduction"	"Watts; Rob; Bessant; Judith; Hil; Richard"		"Essential reading"		9780203934302	2008	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=327307"	1516	
"Safety, risk and adventure in outdoor activities"	"Barton; Bob"		"Essential reading"		9781848604957	2006	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=354908"	1516	
"The vertigo of late modernity"	"Young; Jock"		"Essential reading"		9781848607354	2007	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=370537"	1516	
"Effective practice in health, social care and criminal justice: a partnership approach"	"Carnwell; Ros; Buchanan; Julian"		"Essential reading"		9780335237531	2008	"McGraw-Hill Education"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=420768"	1516	
"Digital culture"	"Gere; Charlie"		"Essential reading"		9781861895608	2009	"Reaktion Books"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=420798"	1516	
"Leadership and management in social care"	"Hafford-Letchfield; Trish; Leonard; Kate; Begum; Nasa; Chick; Neil F."		"Essential reading"		9781849202398	2007	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=420875"	1516	
"News values"	"Brighton; Paul; Foy; Dennis"		"Essential reading"		9781849202169	2007	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=420898"	1516	
"Ethical sourcing in the global food system"	"Barrientos; Stephanie"		"Essential reading"		9781849771269	2012	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=429985"	1516	
"Producing for web 2.0: a student guide"	"Whittaker; Jason"		"Essential reading"		9780203882030	2009	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=435652"	1516	
"Globalisation, Markets and Healthcare Policy: Redrawing the Patient as Consumer"	"Tritter; Jonathan; Koivusalo; Meri; Ollila; Eeva"		"Essential reading"		9780203875094	2009	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=446560"	1516	
"Policing beyond Macpherson"	"Rowe; Mike"		"Essential reading"		9781843926504	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=449708"	1516	
"Professional feature writing"	"Garrison; Bruce"		"Essential reading"		9780203872840	2009	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=455500"	1516	
"City tourism: national capital perspectives"	"Maitland; Robert; Ritchie; B.W."		"Essential reading"		9781845935474	2009	"CABI"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=476510"	1516	
"Equality in the primary school: promoting good practice across the curriculum"	"Hill; Dave; Robertson; Leena Helavaara"		"Essential reading"		9781441137807	2009	"Bloomsbury Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=476524"	1516	
"The natural step for business: wealth, ecology & the evolutionary corporation"	"Nattrass; Brian; Altomare; Mary"		"Essential reading"		9781550923995	1999	"New Society Publishers"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=478316"	1516	
"Leukaemia diagnosis"	"Bain; Barbara J."		"Essential reading"		9781444318487	2010	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=485659"	1516	
"Environmental impacts on reproductive health and fertility"	"Woodruff; Tracey J.; Janssen; Sarah J.; Guillette, Jr; Louis J.; Giudice; Linda C."		"Essential reading"		9780511673443	2010	"Cambridge University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=487274"	1516	
"Consultancy and advising in forensic practice: empirical and practical guidelines"	"Ireland; Carol A.; Fisher; Martin J."		"Essential reading"		9780470661499	2010	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=487722"	1516	
"Managing in health and social care"	"Martin; Vivien; Charlesworth; Julie; Henderson; Euan"		"Essential reading"		9780203856932	2010	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=487969"	1516	
"The economics anti-textbook: a critical thinker's guide to microeconomics"	"Hill; Rod; Myatt; Tony"		"Essential reading"		9781848135482	2010	"Zed Books"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=512028"	1516	
"Practical high-performance liquid chromatography"	"Meyer; Veronika R."		"Essential reading"		9780470688434	2010	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=514463"	1516	
"Unequal ageing: the untold story of exclusion in old age"	"Cann; Paul; Dean; Malcolm"		"Essential reading"		9781847427915	2009	"Policy Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=517147"	1516	
"National days: constructing and mobilising national identity"	"McCrone, David; Professor; McPherson, Gayle; Dr"		"Essential reading"		9780230251175	2009	"Palgrave Macmillan"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=555393"	1516	
"Multilevel analysis: techniques and applications"	"Hox; Joop"		"Essential reading"		9780203852279	2010	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=574571"	1516	
