"Title"	"Author(s)"	"Editor(s)"	"Importance"	"ISBN10"	"ISBN13"	"Date of Publication"	"Publisher"	"Web Address"	"Time Period"	"CKEY"
"Practical guide to ICP-MS: a tutorial for beginners"	"Thomas, Robert"		"Essential reading"		9781466555440	2013	"CRC Press"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781466555440"	1516	
"Gentrification: a working-class perspective"	"Paton; Kirsteen"		"Essential reading"		9781472418517	2014	"Ashgate"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781472418517"	1516	
"Vampire culture"	"Mellins; Maria"		"Essential reading"		9781472503855	2013	"Bloomsbury Academic"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781472503855"	1516	
"International financial reporting and analysis"	"Alexander; David; Britton; Anne; Jorissen; Ann; Hoogendoorn; Martin; Mourik; Carien van"		"Essential reading"		9781473704718	2014	"Cengage Learning"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781473704718"	1516	
"Principles of responsible management: glocal sustainability, responsibility, and ethics"	"Laasch; Oliver; Conaway; Roger N."		"Essential reading"		9781473713772	2015	"Cengage Learning"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781473713772"	1516	
"Physiotherapy in respiratory and cardiac care: an evidence-based approach"	"Hough; Alexandra"		"Essential reading"		9781473723771	2014	"Cengage Learning"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781473723771"	1516	
"The SAGE handbook of feminist theory"		"Evans; Mary"	"Essential reading"		9781473907348	2014	"SAGE reference"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781473907348"	1516	
"Learning PHP, MySQL, JavaScript, CSS & HTML5"	"Nixon; Robin"		"Essential reading"		9781491906972	2014	"O'Reilly Media"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781491906972"	1516	
"Mission, Inc: a practitioner's guide to social enterprise"	"Lynch, Kevin; Walls, Julius"		"Essential reading"		9781576756188	"c2009"	"Berrett-Koehler; McGraw-Hill [distributor]"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781576756188"	1516	
"Adipose tissue and adipokines in health and disease"	"Fantuzzi, Giamila; Mazzone, Theodore"		"Essential reading"		9781597453707	"c2007"	"Humana Press"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597453707"	1516	
"The metabolic syndrome and obesity"	"Bray, George A."		"Essential reading"		9781597454315	"c2007"	"Humana; Quantum [distributor]"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597454315"	1516	
"Handbook of evidence-based psychodynamic psychotherapy: bridging the gap between science and practice"	"Levy; Raymond; Ablon; J. Stuart; Gabbard; Glen O."		"Essential reading"		9781617379222	2010	"Humana Press"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597454445"	1516	
"Virtualization and forensics: a digital forensic investigator's guide to virtual environments"	"Barrett, Diane; Kipper, Gregory; Liles, Samuel"		"Essential reading"		9781597495585	"c2010"	"Syngress"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597495585"	1516	
"Digital forensics with open source tools: using open source platform tools for performing computer forensics on target systems : Windows, Mac, Linux, UNIX, etc"	"Altheide, Cory; Carvey, Harlan A."		"Essential reading"		9781597495875	2011	"Syngress"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597495875"	1516	
"Digital forensics for legal professionals: understanding digital evidence from the warrant to the courtroom"	"Daniel, Larry; Daniel, Lars"		"Essential reading"		9781597496445	2012	"Syngress"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597496445"	1516	
"Android forensics: investigation, analysis and mobile security for Google Android"	"Hoog, Andrew"		"Essential reading"		9781597496520	"c2011"	"Syngress"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597496520"	1516	
"The basics of digital forensics: the primer for getting started in digital forensics"	"Sammons, John"		"Essential reading"		9781597496629	2012	"Syngress"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781597496629"	1516	
"Integrated management systems: leading strategies and solutions"	"Pardy, Wayne G.; Andrews, Terri"		"Essential reading"		9781605906584	2010	"Government Institutes"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781605906584"	1516	
"Faceted search"	"Tunkelang; Daniel"		"Essential reading"		9781608450008	2009	"Morgan & Claypool Publishers"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781608450008"	1516	
"The new entrepreneurial leader: developing leaders who shape social and economic opportunity"	"Greenberg; Danna; McKone-Sweet; Kathleen; Wilson; H. James"		"Essential reading"		9781609940331	2011	"Berrett-Koehler; McGraw-Hill [distributor]"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781609940331"	1516	
"Working the crowd: social media marketing for business"	"Brown; Eileen; British Computer Society"		"Essential reading"		9781780171272	2012	"BCS"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781780171272"	1516	
"Memory: encounters with the strange and the familiar"	"Scanlan; John"		"Essential reading"		9781780232249	2013	"Reaktion Books"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781780232249"	1516	
"Mad Mobs and Englishmen?: myths and realities of the 2011 riots"	"Steve Reicher; Cliff Stott"		"Essential reading"		9781780335322	2011	"Constable & Robinson"	"https://www.dawsonera.com/guard/protected/dawson.jsp?name=https://idp.mmu.ac.uk/shibboleth&dest=http://www.dawsonera.com/depp/reader/protected/external/AbstractView/S9781780335322"	1516	
