publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Swine in the laboratory: surgery, anesthesia, imaging, and experimental techniques,"	"9781466553477"	"9781466553521"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781466553521&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781466553521.jpg"	
"Street Angel"	""	"9781771120272"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781771120272&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781771120272.jpg"	
"Ley lines"	""	"9781771120333"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781771120333&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781771120333.jpg"	
"Embedded computing and mechatronics with the PIC32 microcontroller"	"9780124201651"	"9780124202351"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780124202351&uid=none"						"Newnes"											"http://www.askewsandholts.com/EBookImages/9780124202351.jpg"	
"Understanding credit derivatives and related instruments"	"9780128001165"	"9780128004906"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780128004906&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780128004906.jpg"	
"Biomechanics and motor control: defining central concepts"	"9780128003848"	"9780128005194"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780128005194&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780128005194.jpg"	
"Skills That Matter"	"9781403906397"	"9780230211919"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780230211919&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9780230211919.jpg"	
"Introduction to community nursing practice"	"9780335244713"	"9780335244720"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780335244720&uid=none"						"McGraw-Hill"											"http://www.askewsandholts.com/EBookImages/9780335244720.jpg"	
"Health improvement and well-being: strategies for action"	"9780335244959"	"9780335244966"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780335244966&uid=none"						"Open University Press"											"http://www.askewsandholts.com/EBookImages/9780335244966.jpg"	
"PerformanceStat Potential: A Leadership Strategy for Producing Results"	"9780815725275"	"9780815725282"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780815725282&uid=none"						"Brookings Institution Press"											"http://www.askewsandholts.com/EBookImages/9780815725282.jpg"	
"Russia and the New World Disorder"	"9780815725565"	"9780815725572"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780815725572&uid=none"						"Brookings Institution Press"											"http://www.askewsandholts.com/EBookImages/9780815725572.jpg"	
"Time-frequency signal analysis and processing"	"9780123984999"	"9780123985255"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780123985255&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780123985255.jpg"	
"Global alert: the rationality of modern Islamist terrorism and the challenge to the liberal democratic world"	"9780231172127"	"9780231538916"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780231538916&uid=none"						"Columbia University Press"											"http://www.askewsandholts.com/EBookImages/9780231538916.jpg"	
"Apoptosis and development"	"9780124104259"	"9780124095984"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780124095984&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780124095984.jpg"	
"The oracle"	"9781605426273"	"9781605426280"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781605426280&uid=none"						"Medallion Press"											"http://www.askewsandholts.com/EBookImages/9781605426280.jpg"	
"Male germline stem cells: developmental and regenerative potential"	"9781617379727"	"9781617379734"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781617379734&uid=none"						"Humana Press"											"http://www.askewsandholts.com/EBookImages/9781617379734.jpg"	
"Tea ceremony"	"9780804835008"	"9781462908370"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781462908370&uid=none"						"Tuttle Publishing"											"http://www.askewsandholts.com/EBookImages/9781462908370.jpg"	
"San Antonio man tells tall tale"	"9780761866305"	"9780761866312"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780761866312&uid=none"						"Hamilton Books"											"http://www.askewsandholts.com/EBookImages/9780761866312.jpg"	
"Charlotte"	"9780762753123"	"9780762766208"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780762766208&uid=none"						"Globe Pequot Press"											"http://www.askewsandholts.com/EBookImages/9780762766208.jpg"	
"Relationship inference with Familias and R: statistical methods in forensic genetics"	"9780128024027"	"9780128026267"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780128026267&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780128026267.jpg"	
"Structure to function of G protein-gated inwardly rectifying (GIRK) channels"	"9780128024584"	"9780128026311"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780128026311&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780128026311.jpg"	
"Numerical models for submerged breakwaters: coastal hydrodynamics and morphodynamics"	"9780128024133"	"9780128026656"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780128026656&uid=none"						"Butterworth-Heinemann"											"http://www.askewsandholts.com/EBookImages/9780128026656.jpg"	
"Multiscreen UX design: developing for a multitude of devices"	"9780128027295"	"9780128027509"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780128027509&uid=none"						"Morgan Kaufmann"											"http://www.askewsandholts.com/EBookImages/9780128027509.jpg"	
"Ganga: Water Use in the Indian Subcontinent"	"9789048131020"	"9789048131037"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048131037&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048131037.jpg"	
"Mechanosensitivity of the heart"	"9789048128495"	"9789048128501"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048128501&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048128501.jpg"	
"Rare-earth doped III-nitrides for optoelectronic and spintronic applications"	"9789048128761"	"9789048128778"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048128778&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048128778.jpg"	
"Satellite remote sensing: a new tool for archaeology"	"9789048188000"	"9789048188017"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048188017&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048188017.jpg"	
"Oncothermia: principles and practices"	"9789048194971"	"9789048194988"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048194988&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048194988.jpg"	
"Water and nutrient management in natural and constructed wetlands."	"9789048195848"	"9789048195855"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048195855&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048195855.jpg"	
"Intimacy and emotions amongst academics and their partners in dual-locations"	"9781137003867"	"9781137003874"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137003874&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137003874.jpg"	
"Jews and the left: the rise and fall of a political alliance"	"9781137008299"	"9781137008305"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137008305&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137008305.jpg"	
"Contemporary challenges in regulating global crises"	"9781137009104"	"9781137009111"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137009111&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137009111.jpg"	
"Slapstick and Comic Performance: Comedy and Pain"	"9780230364134"	"9781137438973"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781137438973&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9781137438973.jpg"	
