publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Super Schnoz and the invasion of the snore snatchers"	""	"9781497652972"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781497652972&uid=none"						"Albert Whitman"											"http://www.askewsandholts.com/EBookImages/9781497652972.jpg"	
"Earthly Pages: The Poetry of Don Domanski"	""	"9781554580705"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554580705&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554580705.jpg"	
"Animal subjects: an ethical reader in a posthuman world"	""	"9781554580774"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554580774&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554580774.jpg"	
"Trans.Can.Lit: resituating the study of Canadian literature"	""	"9781554581030"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581030&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581030.jpg"	
"Florence Nightingale and public health in India"	""	"9781554581122"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581122&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581122.jpg"	
"The young, the restless, and the dead: interviews with Canadian filmmakers"	""	"9781554581139"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581139&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581139.jpg"	
"Playing a Jewish game: Gentile Christian Judaizing in the first and second centuries CE"	""	"9781554581177"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581177&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581177.jpg"	
"Minds of our own: inventing feminist scholarship and women's studies in Canada and Quebec, 1966-76"	""	"9781554581238"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581238&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581238.jpg"	
"Committed to the sane asylum: narratives on mental wellness & healing"	""	"9781554581306"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581306&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581306.jpg"	
"Haiti: hope for a fragile state"	""	"9781554581320"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581320&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581320.jpg"	
"Asian Canadian writing beyond autoethnography"	""	"9781554581399"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581399&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581399.jpg"	
"Florence Nightingale and the foundation of professional nursing"	""	"9781554581696"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581696&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581696.jpg"	
"Gendered screen: Canadian women filmmakers"	""	"9781554581955"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554581955&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554581955.jpg"	
