publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Midnight for Charlie Bone"	"9781405225434"	"9781780312026"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781780312026&uid=none"						"Egmont"											"http://www.askewsandholts.com/EBookImages/9781780312026.jpg"	
"Revamped!"	"9781405243711"	"9781780310046"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781780310046&uid=none"						"Egmont"											"http://www.askewsandholts.com/EBookImages/9781780310046.jpg"	
"Vampalicious"	"9781405243728"	"9781780310053"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781780310053&uid=none"						"Egmont"											"http://www.askewsandholts.com/EBookImages/9781780310053.jpg"	
