publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Computational quantum chemistry: an interactive guide to basis set theory"	"9780125696821"	"9780080488530"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080488530&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780080488530.jpg"	
"Tour"	"9781742703855"	"9781742738284"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738284&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738284.jpg"	
"100 best cakes & desserts"	"9781742703862"	"9781742738291"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738291&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738291.jpg"	
"Catherine Saxelby's complete food and nutrition companion: the ultimate A-Z guide"	"9781740668415"	"9781742738321"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738321&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738321.jpg"	
"In your face: the hidden history of plastic surgery and why looks matter"	"9781742701233"	"9781742738345"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738345&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738345.jpg"	
"Why You're Not Married"	"9781742704258"	"9781742738352"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738352&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738352.jpg"	
"South American grill"	"9781742703008"	"9781742738390"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738390&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738390.jpg"	
"Hope"	"9781742703756"	"9781742738451"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738451&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738451.jpg"	
"Shirl"	"9781742702605"	"9781742738468"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738468&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738468.jpg"	
"Impatient Optimist"	"9781742704432"	"9781742738529"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738529&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738529.jpg"	
"Never a Gentlemen's Game"	"9781742701936"	"9781742738598"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781742738598&uid=none"						"Hardie Grant Books"											"http://www.askewsandholts.com/EBookImages/9781742738598.jpg"	
"Boffin Boy and the invaders from space"	"9781841676135"	"9781781273647"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781273647&uid=none"						"Ransom Publishing"											"http://www.askewsandholts.com/EBookImages/9781781273647.jpg"	
"Boffin Boy and the monsters from the deep"	"9781841676159"	"9781781273654"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781273654&uid=none"						"Ransom Publishing"											"http://www.askewsandholts.com/EBookImages/9781781273654.jpg"	
"Boffin Boy and the red wolf"	"9781841676166"	"9781781273661"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781273661&uid=none"						"Ransom Publishing"											"http://www.askewsandholts.com/EBookImages/9781781273661.jpg"	
"Boffin Boy and the lost city"	"9781841676173"	"9781781273678"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781273678&uid=none"						"Ransom Publishing"											"http://www.askewsandholts.com/EBookImages/9781781273678.jpg"	
"Boffin Boy and the Temples of Mars"	"9781841676234"	"9781781273692"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781273692&uid=none"						"Ransom Publishing"											"http://www.askewsandholts.com/EBookImages/9781781273692.jpg"	
"Boffin Boy and the rock men"	"9781841676241"	"9781781273708"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781273708&uid=none"						"Ransom Publishing"											"http://www.askewsandholts.com/EBookImages/9781781273708.jpg"	
