publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Desirable"	""	"9781781120552"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781120552&uid=none"						"Barrington Stoke"											"http://www.askewsandholts.com/EBookImages/9781781120552.jpg"	
"Candy girl"	"9781781120118"	"9781781120668"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781120668&uid=none"						"Barrington Stoke"											"http://www.askewsandholts.com/EBookImages/9781781120668.jpg"	
"Wild song"	"9781781121818"	"9781781121832"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781121832&uid=none"						"Barrington Stoke"											"http://www.askewsandholts.com/EBookImages/9781781121832.jpg"	
"Them"	"9781781121849"	"9781781121863"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781781121863&uid=none"						"Barrington Stoke"											"http://www.askewsandholts.com/EBookImages/9781781121863.jpg"	
"The gathering"	"9780099501633"	"9781407018713"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781407018713&uid=none"						"Vintage Digital"											"http://www.askewsandholts.com/EBookImages/9781407018713.jpg"	
"Voelvry"	""	"9781415208892"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781415208892&uid=none"						"Penguin"											"http://www.askewsandholts.com/EBookImages/9781415208892.jpg"	
"Shaking a leg: collected journalism and writings"	"9780099583073"	"9781409016601"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781409016601&uid=none"						"Vintage Digital"											"http://www.askewsandholts.com/EBookImages/9781409016601.jpg"	
"Paradise"	"9780099433491"	"9781409058182"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781409058182&uid=none"						"Vintage Digital"											"http://www.askewsandholts.com/EBookImages/9781409058182.jpg"	
"Now that you're back"	"9780099457114"	"9781446401958"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781446401958&uid=none"						"Vintage Digital"											"http://www.askewsandholts.com/EBookImages/9781446401958.jpg"	
"Behind the lines: revealing and uncensored letters from our war-torn world"	"9780091903404"	"9781446408032"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781446408032&uid=none"						"Ebury Digital"											"http://www.askewsandholts.com/EBookImages/9781446408032.jpg"	
"The whole hog: a sequel to Donkey's years and Dog days"	"9780099286356"	"9781446412817"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781446412817&uid=none"						"Vintage Digital"											"http://www.askewsandholts.com/EBookImages/9781446412817.jpg"	
"Heat: an amateur's adventures as kitchen slave, line cook pasta-maker and apprentice to a butcher in Tuscany"	"9780099464433"	"9781446414101"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781446414101&uid=none"						"Vintage Digital"											"http://www.askewsandholts.com/EBookImages/9781446414101.jpg"	
