publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Environmental life cycle assessment"	"9781439887660"	"9781439887707"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781439887707&uid=none"						"CRC Press"											"http://www.askewsandholts.com/EBookImages/9781439887707.jpg"	
"The fungi."	"9780123820341"	"9780123820358"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780123820358&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780123820358.jpg"	
"Cambridge International AS and A level accounting"	"9781444181432"	"9781444181449"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781444181449&uid=none"						"Hodder"											"http://www.askewsandholts.com/EBookImages/9781444181449.jpg"	
"Radiologic science for technologists: physics, biology, and protection"	"9780323081351"	"9780323292078"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780323292078&uid=none"						"Elsevier"											"http://www.askewsandholts.com/EBookImages/9780323292078.jpg"	
"Critical animal and media studies: communication for nonhuman animal advocacy"	"9781138842267"	"9781317552697"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781317552697&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781317552697.jpg"	
"Plastic surgery.: (Trunk and lower extremity)"	"9781455710553"	"9781455740482"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781455740482&uid=none"						"Saunders"											"http://www.askewsandholts.com/EBookImages/9781455740482.jpg"	
"John's use of Matthew"	"9781451490275"	"9781506402581"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781506402581&uid=none"						"Fortress Press"											"http://www.askewsandholts.com/EBookImages/9781506402581.jpg"	
"Multiobjective shape design in electricity and magnetism"	"9789048130795"	"9789048130801"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048130801&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048130801.jpg"	
"The future of aging: pathways to human life extension"	"9789048139989"	"9789048139996"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048139996&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048139996.jpg"	
"Community Adaptation and Vulnerability in Arctic Regions"	"9789048191734"	"9789048191741"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048191741&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048191741.jpg"	
"Butterfly conservation in South-Eastern Australia: progress and prospects"	"9789048199259"	"9789048199266"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048199266&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048199266.jpg"	
"Mechanosensitivity and mechanotransduction"	"9789048198801"	"9789048198818"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048198818&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048198818.jpg"	
"First principles of meteorology and air pollution"	"9789400701618"	"9789400701625"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789400701625&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789400701625.jpg"	
"Tumors of the central nervous system.: (Gliomas (glioblastoma).)"	"9789400706170"	"9789400706187"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789400706187&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789400706187.jpg"	
"A CMOS self-powered front-end architecture for subcutaneous event-detector devices: three-electrodes amperometric biosensor approach"	"9789400706859"	"9789400706866"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789400706866&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789400706866.jpg"	
"Introduction to the mechanics of space robots"	"9789400717954"	"9789400717961"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789400717961&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789400717961.jpg"	
"Manual para la elaboracion y defensa del trabajo fin de Grado en Ciencias de la Salud"	""	"9788490228906"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9788490228906&uid=none"						"Elsevier"											"http://www.askewsandholts.com/EBookImages/9788490228906.jpg"	
"Guia farmacologica pediatrica en tratamiento parenteral y cuidados de enfermeria"	""	"9788491130482"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9788491130482&uid=none"						"Elsevier"											"http://www.askewsandholts.com/EBookImages/9788491130482.jpg"	
"Fractal geometry and stochastics IV"	"9783034600293"	"9783034600309"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783034600309&uid=none"						"Birkhauser"											"http://www.askewsandholts.com/EBookImages/9783034600309.jpg"	
"Topics in operator theory"	"9783034601573"	"9783034601580"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783034601580&uid=none"						"Birkhauser"											"http://www.askewsandholts.com/EBookImages/9783034601580.jpg"	
"Dinosaur On Hanukkah"	"9781580131452"	"9781580132374"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781580132374&uid=none"						"Lerner Publications"											"http://www.askewsandholts.com/EBookImages/9781580132374.jpg"	
"Opposites of My Jewish Year"	""	"9781580132398"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781580132398&uid=none"						"Lerner Publications"											"http://www.askewsandholts.com/EBookImages/9781580132398.jpg"	
"Happy Birthday, World: A Rosh Hashanah Celebration"	""	"9781580132404"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781580132404&uid=none"						"Lerner Publications"											"http://www.askewsandholts.com/EBookImages/9781580132404.jpg"	
"New Leadership in Unternehmen: Die Wirkung von charismatischer Fuhrung auf Mitarbeiter"	""	"9783954250332"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783954250332&uid=none"						"disserta Verlag"											"http://www.askewsandholts.com/EBookImages/9783954250332.jpg"	
"Hedgefond Replikation: Eine empirische Analyse verteilungsbasierter Ansatze"	""	"9783959341547"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783959341547&uid=none"						"Diplomica Verlag"											"http://www.askewsandholts.com/EBookImages/9783959341547.jpg"	
"Managerqualitat und Collateralized Loan Obligations: Eine empirische Studie uber den Einfluss des Investmentmanagers auf die Performance der Kreditverbriefung"	""	"9783959341554"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783959341554&uid=none"						"Diplomica Verlag"											"http://www.askewsandholts.com/EBookImages/9783959341554.jpg"	
"Milton's visual imagination: imagery in Paradise lost"	"9781107094390"	"9781316375693"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781316375693&uid=none"						"Cambridge University Press"											"http://www.askewsandholts.com/EBookImages/9781316375693.jpg"	
"Citizen participation and political communication in a digital world"	"9781138935037"	"9781317388555"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781317388555&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781317388555.jpg"	
"Some Sort of Genius: A Life of Wyndham Lewis"	"9781619025301"	"9781619026421"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781619026421&uid=none"						"Counterpoint Press"											"http://www.askewsandholts.com/EBookImages/9781619026421.jpg"	
"Technische Dokumentation: Praktische Anleitungen und Beispiele"	"9783540238133"	"9783540278481"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783540278481&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783540278481.jpg"	
"Avalanche dynamics: dynamics of rapid flows of dense granular avalanches"	"9783540326861"	"9783540326878"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783540326878&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783540326878.jpg"	
"Praxis der Viszeralchirurgie: Endokrine Chirurgie"	"9783540227175"	"9783540690207"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783540690207&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783540690207.jpg"	
"Medizintechnik: Life Science Engineering"	"9783540939351"	"9783540939368"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783540939368&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783540939368.jpg"	
"Proceedings of the 20th International Conference on Fluidized Bed Combustion"	"9783642026812"	"9783642026829"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642026829&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642026829.jpg"	
"Geospatial Thinking"	"9783642123252"	"9783642123269"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642123269&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642123269.jpg"	
"Information systems for egovernment: a quality-of-service perspective"	"9783642135705"	"9783642135712"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642135712&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642135712.jpg"	
"Nanophenomena at surfaces: fundamentals of exotic condensed matter phenomena"	"9783642165092"	"9783642165108"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642165108&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642165108.jpg"	
"Patentmanagement: Innovationen erfolgreich nutzen und schutzen"	"9783642166044"	"9783642166051"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642166051&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642166051.jpg"	
"Springer handbook of metrology and testing"	"9783642166402"	"9783642166419"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642166419&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642166419.jpg"	
"Groundwater in the Arab Middle East"	"9783642193507"	"9783642193514"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642193514&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642193514.jpg"	
"Advances in soft matter mechanics"	"9783642193729"	"9783642193736"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642193736&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642193736.jpg"	
"Fruhe Kindheit 0-3 Jahre: Beratung und Psychotherapie fur Eltern mit Sauglingen und Kleinkindern"	"9783642202957"	"9783642202964"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642202964&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642202964.jpg"	
"Multiphase flow dynamics."	"9783642213717"	"9783642213724"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642213724&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642213724.jpg"	
"Recent advances in computer science and information engineering."	"9783642257889"	"9783642257896"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642257896&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642257896.jpg"	
