SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ACTA ZOOLOGICA,0001-7272,1463-6395,1997,78,,,,,,,,,,10.1111/(ISSN)1463-6395,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395,Wiley Online Library,administrative,
ADDICTION,0965-2140,1360-0443,1997,92,,,,,,,,,,10.1111/(ISSN)1360-0443,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443,Wiley Online Library,administrative,
ADDICTION BIOLOGY,1355-6215,1369-1600,1997,2,,,,,,,,,,10.1111/(ISSN)1369-1600,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600,Wiley Online Library,administrative,
ADULTSPAN JOURNAL,1524-6817,2161-0029,1997,9,,,,,,,,,,10.1002/(ISSN)2161-0029/,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-0029/,Wiley Online Library,administrative,
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,1997,7,,,,,,,,,,10.1002/(ISSN)1616-3028,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028,Wiley Online Library,administrative,
ADVANCED MATERIALS,0935-9648,1521-4095,1998,10,,,,,,,,,,10.1002/(ISSN)1521-4095,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095,Wiley Online Library,administrative,
ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,1997,,,,,,,,,,,10.1002/(ISSN)1098-2329,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329,Wiley Online Library,administrative,
"AFRICA RESEARCH BULLETIN: ECONOMIC, FINANCIAL AND TECHNICAL SERIES",0001-9852,1467-6346,1997,34,,,,,,,,,,10.1111/(ISSN)1467-6346,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6346,Wiley Online Library,administrative,
"AFRICA RESEARCH BULLETIN: POLITICAL, SOCIAL AND CULTURAL SERIES",0001-9844,1467-825X,1997,34,,,,,,,,,,10.1111/(ISSN)1467-825X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-825X,Wiley Online Library,administrative,
AFRICAN DEVELOPMENT REVIEW,1017-6772,1467-8268,1997,9,,,,,,,,,,10.1111/(ISSN)1467-8268,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8268,Wiley Online Library,administrative,
