SO Name,Cambridge University Press:Master:2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,Cambridge University Press_Master_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Name,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,31/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,ID.kbart_title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Review of Applied Linguistics,0267-1905,1471-6356,01/01/1980,1,,,,,APL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_APL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctic Science,0954-1020,1365-2079,03/01/1989,1,1,,,,ANS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ANS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Psycholinguistics,0142-7164,1469-1817,01/01/1980,1,1,,,,APS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_APS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APSIPA Transactions on Signal and Information Processing,,2048-7703,12/01/2012,1,,, ,,SIP,,fulltext,Open Access,,,Cambridge Journals,http://journals.cambridge.org/jid_SIP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Living Resources,0990-7440,1765-2952,01/01/1988,1,1,,,,ALR,,fulltext,The entire collection of back issues (24 months after publication) is available online and free of charge (from 1988 vol 1 iss 1 to 2010 vol 23 iss 4),,,Cambridge Journals,http://journals.cambridge.org/jid_ALR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic Sciences and Philosophy,0957-4239,1474-0524,01/01/1991,1,1,,,,ASP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ASP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbor Clinical Nutrition Updates,,1446-5450,,,,,,,CAN,,fulltext,Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/ACN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeological Dialogues,1380-2038,1478-2294,01/01/1994,1,1,,,,ARD,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARD,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeological Reports,0570-6084,2041-4102,01/01/1955,1,,,,,ARE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arq: Architectural Research Quarterly,1359-1355,1474-0516,01/01/1995,1,1,,,,ARQ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARQ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Journal of International Law,2044-2513,2044-2521,1/25/2011,1,1,,,,AJL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AJL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTIN Bulletin: The Journal of the IAA,0515-0361,1783-1350,,,,,,,ASB,,fulltext,New for 2013. Formerly published by Peeters,,,Cambridge Journals,http://journals.cambridge.org/jid_ASB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australasian Journal of Special Education,1030-0112,1833-6914,08/01/2009,33,1,, ,,JSE,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/jid_JSE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian and New Zealand Journal of Family Therapy,0814-723X,1467-8438,01/01/2007,28,1,12/31/2012,33,4,AFT,,fulltext,Formerly published by Australian Academic Press. Published by CUP for 2012.. Moving to Wiley for 2013.,,,Cambridge Journals,http://journals.cambridge.org/jid_AFT,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian and New Zealand Journal of Organisational Psychology,,1835-7601,01/01/2008,1,1,,,,ORP,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/ORP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Educational and Developmental Psychologist,0816-5122,1839-2504,01/01/2008,25,1,,,,EDP,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/EDP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Environmental Education,0814-0626,2049-775X,01/01/2011,27,1,, ,,AEE,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_AEE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Guidance and Counselling,1037-2911,1839-2520,01/01/2005,15,1,, ,,JGC,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/jid_JGC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Indigenous Education,1326-0111,2049-7784,01/01/2011,40,1,,,,JIE,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/JIE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Rehabilitation Counselling,1323-8922,1838-6059,01/01/2006,12,1,,,,JRC,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/JRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian History Yearbook,0067-2378,1558-5255,01/01/1965,1,1,,,,AHY,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AHY,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioral and Brain Sciences,0140-525X,1469-1825,01/01/1978,1,1,,,,BBS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BBS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behaviour Change,0813-4839,2049-7768,01/01/1999,16,1,, ,,BEC,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_BEC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioural and Cognitive Psychotherapy,1352-4658,1469-1833,01/01/1975,3,1,,,,BCP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BCP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilingualism: Language and Cognition,1366-7289,1469-1841,04/01/1998,1,1,,,,BIL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BIL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofilms,1479-0505,1479-0513,01/01/2004,1,1,12/31/2006,3,1,BFM,,fulltext,Ceased,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=BFM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biosocieties,1745-8552,1745-8560,01/01/2006,1,1,12/31/2009,4,4,BIO,,fulltext,Currently published by Palgrave Macmillan,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=BIO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird Conservation International,0959-2709,1474-0001,01/01/1991,1,1,,,,BCI,,fulltext,Free from 1991 vol 1 iss 1 to 2007 vol 17 iss 4,,,Cambridge Journals,http://journals.cambridge.org/jid_BCI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain Impairment,1443-9646,1839-5252,01/01/2000,1,1,, ,,BIM,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_BIM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannia,0068-113X,1753-5352,01/01/1970,1,1,,,,BRI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BRI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Actuarial Journal,1357-3217,2044-0456,04/01/1996,1,1,,,,BAJ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BAJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Journal of Anaesthetic and Recovery Nursing,1742-6456,1744-2192,01/01/2000,1,1,,,,ARN,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Journal of Music Education,0265-0517,1469-2104,01/01/1984,1,1,,,,BME,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BME,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Journal of Nutrition,0007-1145,1475-2662,01/01/1947,1,1,,,,BJN,,fulltext,Free access to archives from 1947 vol 1 iss 1 to 2012 vol 107 iss 5,,,Cambridge Journals,http://journals.cambridge.org/jid_BJN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Journal of Political Science,0007-1234,1469-2112,01/01/1971,1,1,,,,JPS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JPS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browning Institute Studies,0092-4725,,01/01/1973,1,,12/31/1990,18,,,,fulltext,Currently Victorian Literature and Culture,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=VLC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin International des Societes de la Croix-Rouge ,1816-9686,,01/01/1886,17,1,12/31/1918,49,196,,,fulltext,Ceased. Continues Bulletin International des Societe de secours aux Militaires Blesses ,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=BRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of Entomological Research,0007-4853,1475-2670,01/01/1910,1,1,,,,BER,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BER,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of Entomological Research Supplements Series,1367-4269,,01/01/1993,,,12/31/1995,,,BES,,fulltext,Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=BES,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,01/01/1969,1,1,,,,BAZ,,fulltext,Free access to archives from 1969 vol 1 iss 1 to 2008 vol 77 iss 1,,,Cambridge Journals,http://journals.cambridge.org/jid_BAZ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of the International Institute of Social History,1873-0841,,01/01/1937,1,1,12/31/1955,10,3,BSH,,fulltext,Currently International Review of Social History ,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=BSH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,01/01/1917,1,1,,,,BSO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BSO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business History Review,0007-6805,2044-768X,01/01/1926,1,1,,,,BHR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BHR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Archaeological Journal,0959-7743,1474-0540,01/01/1991,1,1,,,,CAJ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CAJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambridge Classical Journal,1750-2705,2047-993X,01/01/2005,51,,,,,CCJ,,fulltext,Formerly Proceedings of the Cambridge Philologhical Society (New Series),,,Cambridge Journals,http://journals.cambridge.org/CCJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Opera Journal,0954-5867,1474-0621,01/01/1989,1,1,,,,OPR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=OPR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,01/01/1992,1,1,,,,CQH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CQH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden Fifth Series,0960-1163,1478-5110,01/01/1993,1,,,,,RHC,,fulltext,Continuous  Camden Fourth Series (1964-1992). Also known as Royal Historical Society Camden Fifth Series,,,Cambridge Journals,http://journals.cambridge.org/jid_RHC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Canadian Entomologist,0008-347X,1918-3240,01/01/1868,1,,,,,TCE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/TCE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Journal of Law and Society,0829-3201,1911-0227,04/01/2011,26,1,, ,,CLS,,fulltext,New for 2013. Previously published by Univ Toronto Press,,,Cambridge Journals,http://journals.cambridge.org/jid_CLS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Journal of Political Science/Revue canadienne de science politique,0008-4239,1744-9324,01/01/1968,1,1,,,,CJP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CJP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Journal on Aging/Revue canadienne du vieillissement,0714-9808,1710-1107,01/01/1982,1,1,,,,CJG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CJG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiology in the Young,1047-9511,1467-1107,01/01/1991,1,1,,,,CTY,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CTY,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central European History,0008-9389,1569-1616,01/01/1968,1,1,,,,CCC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CCC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Australia,1035-0772,2049-7776,01/01/2011,36,1,,,,CHA,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/CHA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church History: Studies in Christianity and Culture,0009-6407,1755-2613,01/01/1932,1,1,,,,CHH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CHH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS Spectrums,1092-8529,2165-6509,09/01/1996,1,1,, ,,CNS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CNS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Combinatorics, Probability and Computing",0963-5483,1469-2163,01/01/1992,1,1,,,,CPC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CPC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative Exercise Physiology,1755-2540,1755-2559,02/01/2008,5,1,12/31/2010,7,4,CEP,,fulltext,From vol 8 iss 1 is published by Wageningen Academic Publishers. Part of 2012 CUP NESLI2,,,Cambridge Journals,http://journals.cambridge.org/jid_CEP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative Studies in Society and History,0010-4175,1475-2999,01/01/1958-1959,1,1,,,,CSS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CSS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compositio Mathematica,0010-437X,1570-5846,01/01/1997,105,1,,,,COM,,fulltext,Access to the archive is free until 2008 vol 144 iss 6 ,,,Cambridge Journals,http://journals.cambridge.org/jid_COM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contemporary European History,0960-7773,1469-2171,01/01/1992,1,1,,,,CEH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CEH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continuity and Change,0268-4160,1469-218X,01/01/1986,1,1,,,,CON,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_CON,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORD Conference Proceedings,,2049-1255,01/01/2007,39,,,,,COR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=COR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance Research Journal,0149-7677,1940-509X,01/01/2007,39,,,,,DRJ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=DRJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development and Psychopathology,0954-5794,1469-2198,01/01/1989,1,1,,,,DPP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DPP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialogue: Canadian Philosophical Review/Revue canadienne de philosophie,0012-2173,1759-0949,01/01/1962-1963,1,1,,,,DIA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DIA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Light Source Proceedings,,2044-8201,01/01/2011,1,,,,,DLS,,fulltext,Open Access,,,Cambridge Journals,http://journals.cambridge.org/DLS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disaster Medicine and Public Health Preparedness,1935-7893,1938-744X,01/01/2007,1,1,,,,DMP,,fulltext,New for 2013. Previously published by the American Medical Association,,,Cambridge Journals,http://journals.cambridge.org/DMP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du Bois Review: Social Science Research on Race,1742-058X,1742-0598,03/01/2004,1,1,,,,DBR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DBR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Music History,0261-1279,1474-0559,01/01/1981,1,,,,,EMH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EMH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,1755-6910,1755-6929,01/01/2007,98,1,,,,,,fulltext,"Formerly Transactions of the Royal Society of Edinburgh: Earth Sciences (1980 - 2007), Transactions of the Royal Society of Edinburgh (1788 - 1979)",,,Cambridge Journals,http://journals.cambridge.org/jid_TRE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecclesiastical Law Journal,0956-618X,1751-8539,1987-1989,1,1,,,,ELJ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ELJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Econometric Theory,0266-4666,1469-4360,06/07/1905,1,1,,,,ECT,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ECT,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics and Philosophy,0266-2671,1474-0028,01/01/1985,1,1,,,,EAP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EAP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh Journal of Botany,0960-4286,1474-0036,01/01/1997,47,1,,,,EJB,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EJB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteenth-Century Music,1478-5706,1478-5714,03/01/2004,1,1,,,,ECM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ECM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
