SO Name,Cambridge University Press:Master:2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,Cambridge University Press_Master_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Name,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,31/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,ID.kbart_title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Language and Linguistics,1360-6743,1469-4379,01/01/1997,1,1,,,,ELL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ELL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Profile Journal,,2041-5362,09/01/2010,1,1,, ,,EPJ,,fulltext,Free journal,,,Cambridge Journals,http://journals.cambridge.org/jid_EPJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Today,0266-0784,1474-0567,01/01/1985,1,1,,,,ENG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ENG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment and Development Economics,1355-770X,1469-4395,01/01/1996,1,1,,,,EDE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EDE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Biosafety Research,1635-7922,1635-7930,10/01/2002,1,1,12/31/2011,10,4,EBS,,fulltext,Ceased. It was in CUP NESLI2 2012,,,Cambridge Journals,http://journals.cambridge.org/jid_EBS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Conservation,0376-8929,1469-4387,01/01/1974,1,1,,,,ENC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ENC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Practice,1466-0466,1466-0474,01/01/1999,1,1,,,,ENP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ENP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiologia e Psichiatria Sociale,1121-189X,,01/01/1992,1,1,12/31/2010,19,4,,,fulltext,"Currently Epidemiology and Psychiatric Sciences. Missing from the archive vol 2 iss 1, vol 3 iss 1, vol 4 iss 1, vol 4 iss 3, vol 11 iss 1, Monograph Supplements 1 - 8",,,Cambridge Journals,http://journals.cambridge.org/jid_EPS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiology & Infection,0950-2688,1469-4409,01/01/1987,98,1,,,,HYG,,fulltext,Formerly Journal of Hygiene,,,Cambridge Journals,http://journals.cambridge.org/jid_HYG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiology and Psychiatric Sciences,2045-7960,2045-7979,01/01/2011,20,1,,,,,,fulltext,Formerly Epidemiologia e Psichiatria Sociale,,,Cambridge Journals,http://journals.cambridge.org/jid_EPS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episteme,1742-3600,1750-0117,06/01/2004,1,1,, ,,EPI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EPI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equine and Comparative Exercise Physiology,1478-0616,1479-070X,01/01/2004,1,1,12/31/2007,4,03-Apr,ECP,,fulltext,Currently Comparative Exercise Physiology from 2008,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=ECP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ergodic Theory and Dynamical Systems,0143-3857,1469-4417,01/01/1981,1,1,,,,ETS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ETS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESAIM: Control Optimisation and Calculus of Variations,1292-8119,1262-3377,01/01/1996,1,1,,,,COV,,fulltext,Free content from 1996 vol 1 to 2007 vol 13,,,Cambridge Journals,http://journals.cambridge.org/jid_COV,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESAIM: Mathematical Modelling and Numerical Analysis,0764-583X,1290-3841,01/01/1999,33,1,,,,MZA,,fulltext,Free content from 1999 vol 33 iss 1 to 2007 vol 41 iss 6,,,Cambridge Journals,http://journals.cambridge.org/jid_MZA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESAIM: Probability and Statistics,1292-8100,1262-3318,01/01/1997,1,,,,,PSS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PSS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & International Affairs,0892-6794,1747-7093,01/01/1987,1,,,,,EIA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EIA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS Publications Series,1633-4760,1638-1963,01/01/2001,1,,,,,EAS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/EAS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Business Organization Law Review (EBOR),1566-7529,1741-6205,01/01/2000,1,1,,,,EBR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EBR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Constitutional Law Review (EuConst),1574-0196,1744-5515,01/01/2005,1,1,,,,ECL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ECL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Journal of Applied Mathematics,0956-7925,1469-4425,01/01/1990,1,1,,,,EJM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EJM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Journal of Sociology / Archives Europeennes de Sociologie,0003-9756,1474-0583,01/01/1960,1,1,,,,EUR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EUR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Political Science Review,1755-7739,1755-7747,03/01/2009,1,1,,,,EPR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EPR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Review,1062-7987,1474-0575,01/01/1993,1,1,,,,ERW,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ERW,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Review of Economic History,1361-4916,1474-0044,01/01/1997,1,1,12/31/2011,15,3,ERE,,fulltext,"From 2012, the European Review of Economic History is published by Oxford University Press",,,Cambridge Journals,http://journals.cambridge.org/jid_ERE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimental Agriculture,0014-4797,1469-4441,01/01/1965,1,1,,,,EAG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_EAG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expert Reviews in Molecular Medicine,,1462-3994,11/05/1997,1,1,,,,ERM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ERM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetal and Maternal Medicine Review,0965-5395,1469-5065,01/01/1989,1,1,,,,FMR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_FMR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial History Review,0968-5650,1474-0052,01/01/1994,1,1,,,,FHR,,fulltext,"New online bibliographic database of financial history introduced as a component of an online subscription from 2013. A subscription provides access to the full database during the vol year. (pending query, if applicable to NESLI2 customers)",,,Cambridge Journals,http://journals.cambridge.org/jid_FHR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Policy Bulletin,1052-7036,1745-1302,01/01/1990,1,1,12/31/2012,22,4,FPB,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_FPB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forum of Mathematics, Pi",2050-5086,,,,,, ,,FMP,,fulltext,Open Access Journal. Not only content available yet,,,Cambridge Journals,http://journals.cambridge.org/jid_FMP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forum of Mathematics, Sigma",2050-5094,,,,,, ,,FMS,,fulltext,Open Access Journal. Not only content available yet,,,Cambridge Journals,http://journals.cambridge.org/jid_FMS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruits,0248-1294,1625-967X,01/01/2001,56,1,,,,FRU,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_FRU,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetics Research,0016-6723,1469-5073,01/01/2008,90,1,,,,GRH,,fulltext,Formerly Genetical Research (1960-2007),,,Cambridge Journals,http://journals.cambridge.org/jid_GRH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geological Magazine,0016-7568,1469-5081,01/01/1864,1,1,,,,GEO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_GEO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow Mathematical Journal,0017-0895,1469-509X,01/01/1952,1,1,,,,GMJ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_GMJ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Constitutionalism,2045-3817,2045-3825,03/01/2012,1,1,, ,,GCN,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_GCN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government and Opposition,0017-257X,1477-7053,01/01/2009,44,1,, ,,GOV,,fulltext,New for 2013. Previously published by Wiley Blackwell. It was part of Wiley NESLI2 2012 Agreement,,,Cambridge Journals,http://journals.cambridge.org/jid_GOV,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece & Rome,0017-3835,1477-4550,01/01/1931,1,1,,,,GAR,,fulltext,"Subscription include a supplement 'New Surveys in the Classics' (books) (pending query, if applicable to NESLI2 customers)",,,Cambridge Journals,http://journals.cambridge.org/jid_GAR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hague Journal on the Rule of Law,1876-4045,1876-4053,03/01/2009,1,1,,,,ROL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ROL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard Theological Review,0017-8160,1475-4517,01/01/1908,1,1,,,,HTR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_HTR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health Economics, Policy and Law",1744-1331,1744-134X,01/01/2006,1,1,,,,HEP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_HEP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hegel Bulletin,2051-5367,2051-5375,01/01/2013,34,1,, ,,HGL,,fulltext,New journal for 2013. Formerly self-published by the Hegel Society of Great Britain. Title change: formerly Bulletin of the Hegel Society of Great Britain (issn 0263 5232),,,Cambridge Journals,http://journals.cambridge.org/jid_HGL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Power Laser Science and Engineering ,2095-4719,,,,,,,,HPL,,fulltext,New journal for 2013. Open Access journal. Online only outside China where there will be a local print edition,,,Cambridge Journals,http://journals.cambridge.org/HPL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History in Africa,0361-5413,1558-2744,,,,, ,,HIA,,fulltext,New to Cambridge. Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/jid_HIA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons,0360-9669,2050-8557,01/01/2004,31,1,, ,,HOR,,fulltext,New for 2013. Previously published by Villanova University,,,Cambridge Journals,http://journals.cambridge.org/jid_HOR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International & Comparative Law Quarterly,0020-5893,1471-6895,01/01/1952,1,1,,,,ILQ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ILQ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The International Journal of Asian Studies,1479-5914,1479-5922,01/01/2004,1,1,,,,ASI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/ASI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Astrobiology,1473-5504,1475-3006,01/01/2002,1,1,,,,IJA,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_IJA,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Cultural Property,0940-7391,1465-7317,01/01/1992,1,1,,,,JCP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JCP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Disability Management,1833-8550,1834-4887,05/01/2006,1,1,, ,,IDM,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/jid_IDM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Law in Context,1744-5523,1744-5531,03/01/2005,1,1,,,,IJC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_IJC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Metrology and Quality Engineering,2107-6839,2107-6847,01/01/2010,1,1,, ,,MQE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MQE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Microwave and Wireless Technologies,1759-0787,1759-0795,02/01/2009,1,1,,,,MRF,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MRF,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Middle East Studies,0020-7438,1471-6380,01/01/1970,1,1,,,,MES,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_MES,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The International Journal of Neuropsychopharmacology,1461-1457,1469-5111,07/01/1998,1,1,,,,PNP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PNP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Technology Assessment in Health Care,0266-4623,1471-6348,01/01/1985,1,1,,,,THC,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_THC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Tropical Insect Science,1742-7584,1742-7592,01/01/1980,1,1,,,,JTI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JTI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Labor and Working-Class History,0147-5479,1471-6445,01/01/1972,1,,,,,ILW,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ILW,Cambridge Journals,,,,,,,,,,,,,,,2000022787,,,,,,,,,,,,,,,,,
International Organization,0020-8183,1531-5088,01/01/1947,1,1,,,,INO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_INO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Psychogeriatrics,1041-6102,1741-203X,01/01/1989,1,1,,,,IPG,,fulltext,Published as International Review of Social History (1936-1939) and Bulletin of the International Institute of Social History (1937-1955),,,Cambridge Journals,http://journals.cambridge.org/jid_IPG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Review of Social History,0020-8590,1469-512X,01/01/1956,1,1,,,,ISH,,fulltext,Formerly Bulletin of the International Institute of Social History,,,Cambridge Journals,http://journals.cambridge.org/jid_ISH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Review of the Red Cross,1816-3831,1607-5889,01/01/2005,87,,,,,IRC,,fulltext,formerly Revue Internationale de la Croix-Rouge - International Review of the Red Cross ISSN 1560-7755,,,Cambridge Journals,http://journals.cambridge.org/jid_IRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Review of the Red Cross - Revue Internationale de la Croix-Rouge et Bulletin Internationale des Societe de la Croix-Rouge (IRC) ,1026-8812,,01/01/1919,1,1,12/31/1955,37.6,,,,fulltext,Succeeded by Revue Internationale de la Croix-Rouge ISSN 0035-3361,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=IRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revue Internationale de la Croix-Rouge,0035-3361,,01/01/1955,37.7,,12/31/1998,80,,,,fulltext,Succeeded by: Revue Internationale de la Croix-Rouge - International Review of the Red Cross ISSN 1560-7755,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=IRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revue Internationale de la Croix-Rouge - International Review of the Red Cross,1560-7755,,01/01/1999,81,,12/31/2004,86,,,,fulltext,Succeeded by: International Review of the Red Cross ISSN 1816-3831,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=IRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Theory,1752-9719,1752-9727,03/01/2009,1,1,,,,INT,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_INT,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Journal of Psychological Medicine,0790-9667,2051-6967,01/01/2013,30,1,, ,,IPM,,fulltext,New for 2013. Previously published by IMI Irish Medical Information Ltd,,,Cambridge Journals,http://journals.cambridge.org/jid_IPM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Law Review,0021-2237,2047-9336,01/01/2008,41,3,, ,,ISR,,fulltext,"New for 2012. Previously self-published by The Faculty of Law, The Hebrew University of Jerusalem",,,Cambridge Journals,http://journals.cambridge.org/jid_ISR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itinerario,0165-1153,2041-2827,01/01/1977,1,1,,,,ITI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ITI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Journal of Political Science,1468-1099,1474-0060,05/01/2000,1,1,,,,JJP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JJP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of African Law,0021-8553,1464-3731,01/01/1957,1,1,,,,JAL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JAL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of American Studies,0021-8758,1469-5154,01/01/1967,1,1,,,,AMS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AMS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Anglican Studies,1740-3553,1745-5278,01/01/2003,1,1,,,,AST,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AST,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Applied Animal Nutrition,,2049-257X,01/01/2013,1,,,,,JAN,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JAN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Biosocial Science,0021-9320,1469-7599,01/01/1969,1,1,,,,JBS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JBS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of British Studies,0021-9371,1545-6986,01/01/2003,42,1,, ,,JBR,,fulltext,New for 2013. Previously published by Chicago University Press,,,Cambridge Journals,http://journals.cambridge.org/jid_JBR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Child Language,0305-0009,1469-7602,01/01/1974,1,1,,,,JCL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JCL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Dairy Research,0022-0299,1469-7629,01/01/1929,1,1,,,,DAR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DAR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Dentofacial Anomalies and Orthodontics,2110-5715,,01/01/2008,11,1,, ,,DAO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DAO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,01/01/2010,1,1,,,,DOH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_DOH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Experimental Political Science,2062-2630,2062-2649,,,,,,,XPS,,fulltext,Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=XPS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,01/01/1966,1,1,,,,JFQ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JFQ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Fluid Mechanics,0022-1120,1469-7645,01/01/1956,1,1,,,,FLM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_FLM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of French Language Studies,0959-2695,1474-0079,01/01/1991,1,1,,,,JFL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JFL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Functional Programming,0956-7968,1469-7653,01/01/1991,1,1,,,,JFP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JFP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Germanic Linguistics,1470-5427,1475-3014,01/01/1989,1,1,,,,JGL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JGL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Global History,1740-0228,1740-0236,03/01/2006,1,1,,,,JGH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JGH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Helminthology,0022-149X,1475-2697,01/01/1923,1,1,,,,JHL,,fulltext,"Missing from the archive vol 26 iss 2, vol 26 iss 3",,,Cambridge Journals,http://journals.cambridge.org/jid_JHL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Hospitality and Tourism Management,1447-6770,1839-5260,01/01/2006,13,1,12/31/2012,19,,JHT,,fulltext,Moving publisher in 2013. Formerly published by Australian Academic Press Published by CUP for 2012. Moving to Elsevier for 2013. Formerly Australian Journal of Hospitality Management,,,Cambridge Journals,http://journals.cambridge.org/JHT,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Hygiene,0022-1724,,01/01/1901,1,1,12/31/1986,97,3,,,fulltext,Currently Epidemiology & Infection,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=hyg,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Institutional Economics,1744-1374,1744-1382,06/01/2005,1,1,,,,JOI,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JOI,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of K-Theory,1865-2433,1865-5394,01/01/2008,1,,,,,KAG,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/action/displayJournal?jid=KAG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Latin American Studies,0022-216X,1469-767X,01/01/1969,1,1,,,,LAS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LAS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Linguistic Geography,2049-7547,,,,,, ,,JLG,,fulltext,New for 2013. Not only content available yet,,,Cambridge Journals,http://journals.cambridge.org/jid_JLG,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Linguistics,0022-2267,1469-7742,01/01/1965,1,1,,,,LIN,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_LIN,Cambridge Journals,,,,,,,,,,,,,N/A,2000035206,N/A,,,,,,,,,,,,,,,,,
Journal of Materials Research,0884-2914,2044-5326,01/01/1986,1,1,,,,JMR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JMR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Mechanics,1727-7191,1811-8216,01/01/1998,14,1,,,,JOM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_JOM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Nutritional Science,2048-6790,,01/01/2012,1,,,,,JNS,,fulltext,Open Access,,,Cambridge Journals,http://journals.cambridge.org/jid_JNS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Pacific Rim Psychology,,1834-4909,04/01/2007,1,1,,,,PRP,,fulltext,Formerly South Pacific Journal of Psychology. Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_PRP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Pension Economics and Finance,1474-7472,1475-3022,03/01/2002,1,1,,,,PEF,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PEF,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
