"Title #"	"Title"	"ISBN"	"Author"	"Editor"	"Place_of_Publication"	"Publisher"	"Pub_Year"	"Country_Of_Origin"	"Binding"	"Pagination"	"Edition"	"Series_1.Title"	"Series_1.Series_Volume"	"LC/NLM/Dewey_Class"	"ItemVendor_1.Supplier"	"ItemVendor_1.Purchase_Option"	"ItemVendor_1.List_Price"	"ItemVendor_1.Status"	"ItemVendor_1.Library_Availability"	"ItemVendor_1.Preview"	"ItemVendor_1.Downloadable"	"ItemVendor_1.Available_To_Consortia"	"ItemVendor_1.Date_Added"	"ItemVendor_1.eBook_Pub_Due_Date"	"ItemVendor_1.eCollection_ID_1"	"ItemVendor_1.eCollection_ID_2"	"ItemVendor_1.eCollection_ID_3"	"ItemVendor_1.eCollection_ID_4"	"ItemVendor_2.Supplier"	"ItemVendor_2.Purchase_Option"	"ItemVendor_2.List_Price"	"ItemVendor_2.Status"	"ItemVendor_2.Library_Availability"	"ItemVendor_2.Preview"	"ItemVendor_2.Downloadable"	"ItemVendor_2.Available_To_Consortia"	"ItemVendor_2.Date_Added"	"ItemVendor_2.eBook_Pub_Due_Date"	"ItemVendor_2.eCollection_ID_1"	"ItemVendor_2.eCollection_ID_2"	"ItemVendor_2.eCollection_ID_3"	"ItemVendor_2.eCollection_ID_4"	"ItemVendor_3.Supplier"	"ItemVendor_3.Purchase_Option"	"ItemVendor_3.List_Price"	"ItemVendor_3.Status"	"ItemVendor_3.Library_Availability"	"ItemVendor_3.Preview"	"ItemVendor_3.Downloadable"	"ItemVendor_3.Available_To_Consortia"	"ItemVendor_3.Date_Added"	"ItemVendor_3.eBook_Pub_Due_Date"	"ItemVendor_3.eCollection_ID_1"	"ItemVendor_3.eCollection_ID_2"	"ItemVendor_3.eCollection_ID_3"	"ItemVendor_3.eCollection_ID_4"	"ItemVendor_4.Supplier"	"ItemVendor_4.Purchase_Option"	"ItemVendor_4.List_Price"	"ItemVendor_4.Status"	"ItemVendor_4.Library_Availability"	"ItemVendor_4.Preview"	"ItemVendor_4.Downloadable"	"ItemVendor_4.Available_To_Consortia"	"ItemVendor_4.Date_Added"	"ItemVendor_4.eBook_Pub_Due_Date"	"ItemVendor_4.eCollection_ID_1"	"ItemVendor_4.eCollection_ID_2"	"ItemVendor_4.eCollection_ID_3"	"ItemVendor_4.eCollection_ID_4"	"ItemVendor_5.Supplier"	"ItemVendor_5.Purchase_Option"	"ItemVendor_5.List_Price"	"ItemVendor_5.Status"	"ItemVendor_5.Library_Availability"	"ItemVendor_5.Preview"	"ItemVendor_5.Downloadable"	"ItemVendor_5.Available_To_Consortia"	"ItemVendor_5.Date_Added"	"ItemVendor_5.eBook_Pub_Due_Date"	"ItemVendor_5.eCollection_ID_1"	"ItemVendor_5.eCollection_ID_2"	"ItemVendor_5.eCollection_ID_3"	"ItemVendor_5.eCollection_ID_4"	"ItemVendor_6.Supplier"	"ItemVendor_6.Purchase_Option"	"ItemVendor_6.List_Price"	"ItemVendor_6.Status"	"ItemVendor_6.Library_Availability"	"ItemVendor_6.Preview"	"ItemVendor_6.Downloadable"	"ItemVendor_6.Available_To_Consortia"	"ItemVendor_6.Date_Added"	"ItemVendor_6.eBook_Pub_Due_Date"	"ItemVendor_6.eCollection_ID_1"	"ItemVendor_6.eCollection_ID_2"	"ItemVendor_6.eCollection_ID_3"	"ItemVendor_6.eCollection_ID_4"
22	"FUNCTIONAL CONNECTIONS OF CORTICAL AREAS: A NEW VIEW FROM THE THALAMUS."	9780262314992	"SHERMAN, S. MURRAY"		"CAMBRIDGE"	"MIT PRESS"	2013	"US"	"eBook"	"279 P."				"QP383.5"	"ebrary"	"Multiple User Option (MUPO)"	"60.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	15/08/2013						"ebrary"	"Single User Option (SUPO)"	"40.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	15/08/2013	04/09/2013					"EBSCOhost"	"1 User"	"40.00 USD"	"Available"	"Yes"	"Preview"	"No"	"No"	06/08/2013	06/11/2013					"EBSCOhost"	"3 User"	"60.00 USD"	"Available"	"Yes"	"Preview"	"No"	"No"	06/08/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"No"	"No"	06/08/2013						"UPSO eCollections"	"Unlimited User Access"	"40.00 USD"	"YBP only sells as part of an eCollection. Not sold separately by YBP."	"Yes"		"No"	"No"	06/09/2013		"NEUROSCIENCE (MITPSO) JAN 2014;"			
23	"GETTING STARTED WITH BEAGLEBONE."	9781449345334	"RICHARDSON, MATT"		"SEBASTOPOL"	"MAKERMEDIA"	2014	"US"	"eBook"	"126 P."				"TK7895.E42R43 2013"	"EBSCOhost"	"1 User"	"9.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	08/10/2013	06/11/2013																																																																										
23	"GETTING STARTED WITH BEAGLEBONE."	9781449345358	"RICHARDSON, MATT"		"SEBASTOPOL"	"MAKERMEDIA"	2014	"US"	"eBook"	"126 P."				"TK7895.E42R43 2013"	"ebrary"	"Single User Option (SUPO)"	"9.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	21/10/2013	06/11/2013																																																																										
24	"GREENING INDIA'S GROWTH: COSTS, VALUATIONS, AND TRADE-OFFS"	9781315867144		"MUTHUKUMARA S. MANI"	"LONDON"	"EARTHSCAN"	2014	"UK"	"eBook"	"194 P."				"HC440.E5M37 2014"	"ebrary"	"3 User"	"123.75 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	25/10/2013						"ebrary"	"Single User Option (SUPO)"	"99.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	25/10/2013	06/11/2013					"Taylor & Francis eCollections"	"Unlimited User Access"	"Not Known"	"YBP only sells as part of an eCollection. Not sold separately by YBP."	"No contract on file"		"No"	"No"	08/07/2014																																															
24	"GREENING INDIA'S GROWTH: COSTS, VALUATIONS, AND TRADE-OFFS"	9781317962823		"MUTHUKUMARA S. MANI"	"LONDON"	"EARTHSCAN"	2014	"UK"	"eBook"	"194 P."				"HC440.E5M37 2014"	"EBSCOhost"	"1 User"	"99.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	21/10/2013	06/11/2013					"EBSCOhost"	"3 User"	"123.75 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	21/10/2013																																																													
24	"GREENING INDIA'S GROWTH: COSTS, VALUATIONS, AND TRADE-OFFS"	9781317962830		"MUTHUKUMARA S. MANI"	"LONDON"	"EARTHSCAN"	2014	"UK"	"eBook"	"194 P."				"HC440.E5M37 2014"	"EBL"	"3 User"	"123.75 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	18/10/2013						"EBL"	"Non-Linear Lendingâ„¢"	"148.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	18/10/2013	06/11/2013														06/11/2013																																														
25	"GUIDE TO FOODBORNE PATHOGENS"	9781118684849		"RONALD G. LABBE"	"CHICHESTER"	"WILEY-BLACKWELL"	2013	"UK"	"eBook"	"473 P."	"2ND ED."			"QR115"	"EBL"	"Non-Linear Lendingâ„¢"	"299.93 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	02/08/2013	13/11/2013														13/11/2013					"ebrary"	"3 User"	"349.91 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	06/08/2013		"ACADEMIC COMPLETE; "	"F07 LIFE SCI;"			"ebrary"	"Single User Option (SUPO)"	"199.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	06/08/2013	06/11/2013	"ACADEMIC COMPLETE; "	"F07 LIFE SCI;"			"EBSCOhost"	"1 User"	"199.95 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	02/08/2013	20/11/2013					"EBSCOhost"	"3 User"	"299.93 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	02/08/2013					
25	"GUIDE TO FOODBORNE PATHOGENS"	9781118684856		"RONALD G. LABBE"	"CHICHESTER"	"WILEY-BLACKWELL"	2013	"UK"	"eBook"	"473 P."	"2ND ED."			"QR115"	"Wiley Online Library"	"Multiple User Access"	"149.95 USD"	"Available"	"Yes"		"Yes"	"Yes"	10/05/2013	06/11/2013																																																																										
26	"GUIDE TO TRANSFORMING TEACHING THROUGH SELF-INQUIRY."	9781623961619	"PELECH, JAMES"		"CHARLOTTE"	"INFORMATION AGE PUB"	2013	"US"	"eBook"	"159 P."				"LB1590.3"	"ebrary"	"3 User"	"62.50 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	28/08/2013						"ebrary"	"Multiple User Option (MUPO)"	"75.00 USD"	"Publication canceled"	"Yes"		"No"	"No"	18/07/2013						"ebrary"	"Single User Option (SUPO)"	"50.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	18/07/2013	04/09/2013					"EBSCOhost"	"1 User"	"50.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	11/07/2013	06/11/2013					"EBSCOhost"	"3 User"	"75.00 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	11/07/2013						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	11/07/2013					
27	"HOW TO MAKE TROUBLE AND INFLUENCE PEOPLE: PRANKS, PROTESTS, GRAFFITI & POLITICAL MISCHIEF-MAKING FROM ACROSS AUSTRALIA."	9781604868821	"MCINTYRE, IAIN, 1970-"		"OAKLAND"	"PM PRESS"	2013	"US"	"eBook"	"317 P."	"2ND ED."			"HN850.Z9435 2013"	"ebrary"	"Multiple User Option (MUPO)"	"14.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	28/08/2013						"ebrary"	"Single User Option (SUPO)"	"9.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"Yes"	28/08/2013	06/11/2013					"EBSCOhost"	"1 User"	"9.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	22/08/2013	20/11/2013					"EBSCOhost"	"3 User"	"12.49 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	22/08/2013						"EBSCOhost"	"Concurrent Access"	"9.99 USD"	"Available"	"Yes"	"Preview"	"Yes"	"No"	12/02/2014						"EBSCOhost"	"Unlimited User"	"Tiered"	"Available"	"No tier level assigned for this vendor."	"Preview"	"Yes"	"No"	22/08/2013					
