publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
John Keats and the Ideas of the Enlightenment	9780748637805	9780748637812							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637812	Fermanis	CBO9780748637812		fulltext		Edinburgh University Press	Monograph	2009-09-23 00:00:00	2012-09-12 00:00:00	0	1				P
Journalists in Film	9780748634460	9780748634484							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748634484	McNair	CBO9780748634484		fulltext		Edinburgh University Press	Monograph	2009-12-14 00:00:00	2013-08-05 00:00:00	0	1				P
Julia Kristeva and Feminist Thought	9780748640898	9780748646067							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748646067	Schippers	CBO9780748646067		fulltext		Edinburgh University Press	Monograph	2011-04-15 00:00:00	2012-09-12 00:00:00	0	1				P
Julius Caesar	9780748619368	9780748629008							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629008	Canfora	CBO9780748629008		fulltext		Edinburgh University Press	Monograph	2007-02-05 00:00:00	2013-08-05 00:00:00	0	1				P
Kant's Aesthetic Epistemology	9780748621224	9780748629381							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629381	Hughes	CBO9780748629381		fulltext		Edinburgh University Press	Monograph	2007-05-25 00:00:00	2012-09-12 00:00:00	0	1				P
Katherine Mansfield and the (Post)colonial	9780748669097	9780748669110							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748669110	Wilson/Kimber/da Sousa Correa	CBO9780748669110		fulltext		Edinburgh University Press	Monograph	2013-09-16 00:00:00	2014-03-05 00:00:00	0	1				P
Lacan Deleuze Badiou	9780748682058	9780748682065							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748682065	Bartlett/Clemens	CBO9780748682065		fulltext		Edinburgh University Press	Monograph	2014-02-12 00:00:00	2014-09-05 00:00:00	0	1				P
Language Planning as a Sociolinguistic Experiment	9780748637829	9780748678341							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748678341	Jahr	CBO9780748678341		fulltext		Edinburgh University Press	Monograph	2014-04-08 00:00:00	2014-09-05 00:00:00	0	1				P
Language and Identity in Modern Egypt	9780748689644	9780748689651							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748689651	Bassiouney	CBO9780748689651		fulltext		Edinburgh University Press	Monograph	2014-03-16 00:00:00	2014-09-05 00:00:00	0	1				P
Language and Politics	9780748624522	9780748626977							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626977	Joseph	CBO9780748626977		fulltext		Edinburgh University Press	Monograph	2009-06-21 00:00:00	2013-08-05 00:00:00	0	1				P
Language and Social Change in Central Europe	9780748635986	9780748635993							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748635993	Stevenson/Carl	CBO9780748635993		fulltext		Edinburgh University Press	Monograph	2010-07-31 00:00:00	2013-02-05 00:00:00	0	1				P
Law Making and the Scottish Parliament	9780748640195	9780748645435							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645435	Sutherland/Goodall/Little	CBO9780748645435		fulltext		Edinburgh University Press	Monograph	2011-02-15 00:00:00	2013-09-05 00:00:00	0	1				P
Levinas and the Postcolonial	9780748641031	9780748647064							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647064	Drabinski	CBO9780748647064		fulltext		Edinburgh University Press	Monograph	2011-06-28 00:00:00	2012-09-12 00:00:00	0	1				P
Liberal Peace Transitions	9780748638765	9780748642069							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642069	Richmond/Franks	CBO9780748642069		fulltext		Edinburgh University Press	Monograph	2009-09-16 00:00:00	2012-09-12 00:00:00	0	1				P
Linguistic Awareness in Multilinguals	9780748619139	9780748626540							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626540	Jessner	CBO9780748626540		fulltext		Edinburgh University Press	Monograph	2006-03-15 00:00:00	2013-09-05 00:00:00	0	1				P
Literature Cinema and Politics 1930–1945	9780748639502	9780748642656							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642656	Feigel	CBO9780748642656		fulltext		Edinburgh University Press	Monograph	2010-07-16 00:00:00	2012-09-12 00:00:00	0	1				P
Literature and Nation in the Middle East	9780748620739	9780748626441							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626441	Suleiman/Muhawi	CBO9780748626441		fulltext		Edinburgh University Press	Monograph	2006-02-15 00:00:00	2012-09-12 00:00:00	0	1				P
Literature of the 1940s	9780748627448	9780748631513							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631513	Plain	CBO9780748631513		fulltext		Edinburgh University Press	Monograph	2013-09-10 00:00:00	2014-03-05 00:00:00	5	1				P
Literature of the 1980s	9780748633944	9780748633968							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748633968	Brooker	CBO9780748633968		fulltext		Edinburgh University Press	Monograph	2010-10-05 00:00:00	2012-09-12 00:00:00	9	1				P
Living Islamic History	9780748637386	9780748642199							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642199	Suleiman	CBO9780748642199		fulltext		Edinburgh University Press	Monograph	2010-04-21 00:00:00	2012-09-12 00:00:00	0	1				P
London's Underground Spaces	9780748676071	9780748676088							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748676088	Hwang	CBO9780748676088		fulltext		Edinburgh University Press	Monograph	2013-07-12 00:00:00	2013-10-05 00:00:00	0	1				P
