publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Post-Marxism Versus Cultural Studies	9780748617623	9780748628797							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628797	Bowman	CBO9780748628797		fulltext		Edinburgh University Press	Monograph	2007-04-18 00:00:00	2012-09-12 00:00:00	0	1				P
Post-War Anglophone Lebanese Fiction	9780748643424	9780748643431							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643431	Hout	CBO9780748643431		fulltext		Edinburgh University Press	Monograph	2012-09-12 00:00:00	2013-08-05 00:00:00	0	1				P
Post-War Planning on the Periphery	9780748643882	9780748643899							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643899	Mills	CBO9780748643899		fulltext		Edinburgh University Press	Monograph	2012-08-06 00:00:00	2013-08-05 00:00:00	0	1				P
Post-beur Cinema	9780748640041	9780748678150							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748678150	Higbee	CBO9780748678150		fulltext		Edinburgh University Press	Monograph	2013-07-22 00:00:00	2013-10-05 00:00:00	0	1				P
Postcolonial Agency	9780748639434	9780748642441							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642441	Bignall	CBO9780748642441		fulltext		Edinburgh University Press	Monograph	2010-05-07 00:00:00	2012-09-12 00:00:00	0	1				P
Power Play	9780748635924	9780748635948							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748635948	Boyle/Haynes	CBO9780748635948		fulltext		Edinburgh University Press	Monograph	2009-05-21 00:00:00	2013-08-05 00:00:00	0	1				P
Prince Otto, by Robert Louis Stevenson	9780748645237	9780748645244							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645244	Irvine	CBO9780748645244		fulltext		Edinburgh University Press	Monograph	2014-04-28 00:00:00	2014-10-05 00:00:00	0	1				P
Prisons in the Late Ottoman Empire	9780748641734	9780748677696							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748677696	Schull	CBO9780748677696		fulltext		Edinburgh University Press	Monograph	2014-04-11 00:00:00	2014-09-05 00:00:00	0	1				P
Processes in Third Language Acquisition	9780748635115	9780748635122							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748635122	Hammarberg	CBO9780748635122		fulltext		Edinburgh University Press	Monograph	2009-08-20 00:00:00	2012-09-12 00:00:00	0	1				P
Prosaic Desires	9780748640850	9780748642861							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642861	Crangle	CBO9780748642861		fulltext		Edinburgh University Press	Monograph	2010-07-05 00:00:00	2012-09-12 00:00:00	0	1				P
Psychoanalysis is an Antiphilosophy	9780748678945	9780748678952							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748678952	Clemens	CBO9780748678952		fulltext		Edinburgh University Press	Monograph	2013-05-13 00:00:00	2013-10-05 00:00:00	0	1				P
Public Violence in Islamic Societies	9780748637317	9780748637331							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637331	Lange/Fierro	CBO9780748637331		fulltext		Edinburgh University Press	Monograph	2009-07-31 00:00:00	2012-09-12 00:00:00	0	1				P
Pursuing the Good	9780748628117	9780748631889							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631889	Cairns/Herrmann/Penner	CBO9780748631889		fulltext		Edinburgh University Press	Monograph	2007-11-21 00:00:00	2012-09-12 00:00:00	0	1				P
Race in Modern Irish Literature and Culture	9780748638833	9780748640959							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748640959	Brannigan	CBO9780748640959		fulltext		Edinburgh University Press	Monograph	2009-06-25 00:00:00	2012-09-12 00:00:00	0	1				P
Re-Humanising Shakespeare	9780748623181	9780748629978							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629978	Mousley	CBO9780748629978		fulltext		Edinburgh University Press	Monograph	2007-06-19 00:00:00	2012-09-12 00:00:00	0	1				P
Reading Literature Historically	9780748681013	9780748681020							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748681020	Walker	CBO9780748681020		fulltext		Edinburgh University Press	Monograph	2013-02-06 00:00:00	2013-10-05 00:00:00	0	1				P
Reading Virginia Woolf	9780748624348	9780748626953							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626953	Briggs	CBO9780748626953		fulltext		Edinburgh University Press	Monograph	2006-06-14 00:00:00	2012-09-12 00:00:00	0	1				P
Reading and Responsibility	9780748640089	9780748642458							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642458	Attridge	CBO9780748642458		fulltext		Edinburgh University Press	Monograph	2010-05-27 00:00:00	2012-09-12 00:00:00	0	1				P
Religion and Politics	9780748691739	9780748691746							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748691746	Arnason/Karolewski	CBO9780748691746		fulltext		Edinburgh University Press	Monograph	2014-04-23 00:00:00	2014-09-05 00:00:00	0	1				P
Republican Democracy	9780748643066	9780748677597							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748677597	Niederberger/Schink	CBO9780748677597		fulltext		Edinburgh University Press	Monograph	2013-05-23 00:00:00	2013-10-05 00:00:00	0	1				P
Returning to Revolution	9780748655861	9780748655878							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748655878	Nail	CBO9780748655878		fulltext		Edinburgh University Press	Monograph	2012-08-06 00:00:00	2013-08-05 00:00:00	0	1				P
Revolution or Evolution?	9780748638994	9780748642151							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642151	Curtice/McCrone/McEwen	CBO9780748642151		fulltext		Edinburgh University Press	Monograph	2009-12-07 00:00:00	2012-09-12 00:00:00	0	1				P
Rituals of Islamic Monarchy	9780748625123	9780748630776							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630776	Marsham	CBO9780748630776		fulltext		Edinburgh University Press	Monograph	2009-05-31 00:00:00	2013-09-05 00:00:00	0	1				P
Roman Law, Scots Law and Legal History	9780748625161	9780748630813							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630813	Gordon	CBO9780748630813		fulltext		Edinburgh University Press	Monograph	2007-10-26 00:00:00	2013-08-05 00:00:00	0	1				P
Romani in Britain	9780748639045	9780748643691							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643691	Matras	CBO9780748643691		fulltext		Edinburgh University Press	Monograph	2010-10-05 00:00:00	2012-09-12 00:00:00	0	1				P
Romantics and Modernists in British Cinema	9780748640140	9780748642304							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642304	Orr	CBO9780748642304		fulltext		Edinburgh University Press	Monograph	2010-04-30 00:00:00	2013-08-05 00:00:00	0	1				P
Roomscape	9780748640652	9780748681617							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748681617	Bernstein	CBO9780748681617		fulltext		Edinburgh University Press	Monograph	2013-03-14 00:00:00	2013-09-05 00:00:00	0	1				P
Scandalous Knowledge	9780748620234	9780748626342							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626342	Herrnstein Smith	CBO9780748626342		fulltext		Edinburgh University Press	Monograph	2006-01-05 00:00:00	2012-09-12 00:00:00	0	1				P
Science Fiction Cinema	9780748624652	9780748628704							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628704	Cornea	CBO9780748628704		fulltext		Edinburgh University Press	Monograph	2007-06-06 00:00:00	2013-08-05 00:00:00	0	1				P
Scottish Gods	9780748682898	9780748682904							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748682904	Bruce	CBO9780748682904		fulltext		Edinburgh University Press	Monograph	2014-03-17 00:00:00	2014-09-05 00:00:00	0	1				P
Scottish Modernism and its Contexts 1918–1959	9780748634743	9780748634750							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748634750	Palmer McCulloch	CBO9780748634750		fulltext		Edinburgh University Press	Monograph	2009-05-15 00:00:00	2012-09-12 00:00:00	0	1				P
Scottish Newspapers, Language and Identity	9780748624379	9780748630431							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630431	Douglas	CBO9780748630431		fulltext		Edinburgh University Press	Monograph	2009-03-31 00:00:00	2013-08-05 00:00:00	0	1				P
Scottish Women's Gothic and Fantastic Writing	9780748637645	9780748637652							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637652	Germanà	CBO9780748637652		fulltext		Edinburgh University Press	Monograph	2010-09-16 00:00:00	2012-09-12 00:00:00	0	1				P
Shakespeare in Theory and Practice	9780748633012	9780748632152							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748632152	Belsey	CBO9780748632152		fulltext		Edinburgh University Press	Monograph	2008-05-22 00:00:00	2012-09-12 00:00:00	0	1				P
Shakespearean Maternities	9780748624362	9780748630424							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630424	Laoutaris	CBO9780748630424		fulltext		Edinburgh University Press	Monograph	2008-06-20 00:00:00	2013-09-05 00:00:00	0	1				P
Shane Meadows	9780748676392	9780748676408							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748676408	Fradley	CBO9780748676408		fulltext		Edinburgh University Press	Monograph	2013-07-22 00:00:00	2013-10-05 00:00:00	0	1				P
Sibawayh on ?imalah (Inclination)	9780748627950	9780748631810							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631810	Sara	CBO9780748631810		fulltext		Edinburgh University Press	Monograph	2007-07-13 00:00:00	2012-09-12 00:00:00	0	1				P
Singapore English	9780748625444	9780748630967							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630967	Deterding	CBO9780748630967		fulltext		Edinburgh University Press	Monograph	2007-08-01 00:00:00	2012-09-12 00:00:00	0	1				P
Sonic Modernity	9780748627615	9780748632565							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748632565	Halliday	CBO9780748632565		fulltext		Edinburgh University Press	Monograph	2013-03-14 00:00:00	2013-10-05 00:00:00	0	1				P
South Asian Atlantic Literature 1970–2010	9780748641888	9780748653843							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748653843	Maxey	CBO9780748653843		fulltext		Edinburgh University Press	Monograph	2011-11-30 00:00:00	2012-09-12 00:00:00	0	1				P
Sovereignty after Empire	9780748643042	9780748647545							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647545	Cummings/Hinnebusch	CBO9780748647545		fulltext		Edinburgh University Press	Monograph	2011-07-19 00:00:00	2012-09-12 00:00:00	0	1				P
Spanish America and British Romanticism 1777–1826	9780748638680	9780748641611							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748641611	Cole Heinowitz	CBO9780748641611		fulltext		Edinburgh University Press	Monograph	2010-02-28 00:00:00	2012-09-12 00:00:00	0	1				P
Spanish Queer Cinema	9780748665860	9780748665877							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748665877	Perriam	CBO9780748665877		fulltext		Edinburgh University Press	Monograph	2012-01-03 00:00:00	2013-08-05 00:00:00	0	1				P
Speaking against Number	9780748619818	9780748626281							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626281	Elden	CBO9780748626281		fulltext		Edinburgh University Press	Monograph	2005-12-08 00:00:00	2012-09-12 00:00:00	0	1				P
Sufism and Theology	9780748626052	9780748631346							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631346	Shihadeh	CBO9780748631346		fulltext		Edinburgh University Press	Monograph	2007-11-21 00:00:00	2012-09-12 00:00:00	0	1				P
Sweden, the Swastika and Stalin	9780748627462	9780748631520							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631520	Gilmour	CBO9780748631520		fulltext		Edinburgh University Press	Monograph	2011-03-14 00:00:00	2013-08-05 00:00:00	0	1				P
Sylvia Plath's Fiction	9780748625093	9780748630752							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630752	Ferretter	CBO9780748630752		fulltext		Edinburgh University Press	Monograph	2010-07-06 00:00:00	2012-09-12 00:00:00	0	1				P
Television Policy	9780748617173	9780748680580							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680580	Franklin	CBO9780748680580		fulltext		Edinburgh University Press	Monograph	2005-05-04 00:00:00	2013-08-05 00:00:00	0	1				P
Temporality and Film Analysis	9780748643462	9780748643479							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643479	Mroz	CBO9780748643479		fulltext		Edinburgh University Press	Monograph	2012-08-06 00:00:00	2013-08-05 00:00:00	0	1				P
Text World Theory	9780748622993	9780748629909							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629909	Gavins	CBO9780748629909		fulltext		Edinburgh University Press	Monograph	2007-03-07 00:00:00	2013-08-05 00:00:00	0	1				P
The 'Alids	9780748638475	9780748638482							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748638482	Bernheimer	CBO9780748638482		fulltext		Edinburgh University Press	Monograph	2013-07-12 00:00:00	2013-10-05 00:00:00	0	1				P
The American Counterculture	9780748619887	9780748629091							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629091	Gair	CBO9780748629091		fulltext		Edinburgh University Press	Monograph	2007-02-15 00:00:00	2013-08-05 00:00:00	0	1				P
The Arab Nahdah	9780748640690	9780748677900							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748677900	Patel	CBO9780748677900		fulltext		Edinburgh University Press	Monograph	2013-06-18 00:00:00	2013-10-05 00:00:00	0	1				P
The Arsenal of Democracy	9780748647477	9780748649730							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748649730	Bailey	CBO9780748649730		fulltext		Edinburgh University Press	Monograph	2013-06-18 00:00:00	2013-10-05 00:00:00	0	1				P
The Blind and Blindness in Literature of the Romantic Period	9780748632817	9780748632015							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748632015	Larrissy	CBO9780748632015		fulltext		Edinburgh University Press	Monograph	2007-06-19 00:00:00	2012-09-12 00:00:00	0	1				P
The Challenge of Pluralism	9780748639694	9780748642090							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642090	Filali-Ansary/Karmali Ahmed	CBO9780748642090		fulltext		Edinburgh University Press	Monograph	2009-09-30 00:00:00	2012-09-12 00:00:00	0	1				P
The Cinema of Basil Dearden and Michael Relph	9780748632893	9780748632527							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748632527	Burton/O'Sullivan	CBO9780748632527		fulltext		Edinburgh University Press	Monograph	2009-12-14 00:00:00	2013-08-05 00:00:00	0	1				P
The Cinema of Small Nations	9780748625369	9780748630929							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630929	Hjort/Petrie	CBO9780748630929		fulltext		Edinburgh University Press	Monograph	2007-11-21 00:00:00	2013-08-05 00:00:00	0	1				P
The Community of the College of Justice	9780748645770	9780748645787							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645787	Finlay	CBO9780748645787		fulltext		Edinburgh University Press	Monograph	2012-08-10 00:00:00	2013-08-05 00:00:00	0	1				P
The Cosmopolitan Novel	9780748638154	9780748640836							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748640836	Schoene	CBO9780748640836		fulltext		Edinburgh University Press	Monograph	2009-06-23 00:00:00	2012-09-12 00:00:00	0	1				P
The Courts, the Church and the Constitution	9780748637546	9780748637553							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637553	Rodger	CBO9780748637553		fulltext		Edinburgh University Press	Monograph	2008-07-09 00:00:00	2013-08-05 00:00:00	0	1				P
The Creation of the Ius Commune	9780748638970	9780748642922							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642922	Cairns/du Plessis	CBO9780748642922		fulltext		Edinburgh University Press	Monograph	2010-07-30 00:00:00	2012-09-12 00:00:00	0	1				P
The Crisis of Social Democracy in Europe	9780748665822	9780748665839							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748665839	Keating	CBO9780748665839		fulltext		Edinburgh University Press	Monograph	2013-07-22 00:00:00	2013-10-05 00:00:00	0	1				P
The Cultural Work of Empire	9780748625642	9780748631223							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631223	Watts	CBO9780748631223		fulltext		Edinburgh University Press	Monograph	2007-06-05 00:00:00	2012-09-12 00:00:00	0	1				P
The Culture of Letter-Writing in Pre-Modern Islamic Society	9780748633739	9780748633746							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748633746	Gully	CBO9780748633746		fulltext		Edinburgh University Press	Monograph	2008-02-07 00:00:00	2012-09-12 00:00:00	0	1				P
The Dandy in Irish and American Southern Fiction	9780748625482	9780748631018							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631018	Crowell	CBO9780748631018		fulltext		Edinburgh University Press	Monograph	2007-11-19 00:00:00	2012-09-12 00:00:00	0	1				P
The Discursive Construction of National Identity	9780748637263	9780748637355							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748637355	Wodak et al	CBO9780748637355		fulltext		Edinburgh University Press	Monograph	2009-01-19 00:00:00	2012-09-12 00:00:00	0	1				P
The Edinburgh Festivals	9780748670307	9780748670314							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748670314	Bartie	CBO9780748670314		fulltext		Edinburgh University Press	Monograph	2013-05-21 00:00:00	2014-04-05 00:00:00	0	1				P
The Edinburgh History of the Greeks, c. 500 to 1050	9780748638093	9780748644896							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748644896	Curta	CBO9780748644896		fulltext		Edinburgh University Press	Monograph	2011-01-30 00:00:00	2013-08-05 00:00:00	0	1				P
The Emergence of Minorities in the Middle East	9780748641871	9780748647552							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647552	White	CBO9780748647552		fulltext		Edinburgh University Press	Monograph	2011-07-31 00:00:00	2012-09-12 00:00:00	0	1				P
The Ethics of Armed Conflict	9780748645756	9780748645763							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645763	Lango	CBO9780748645763		fulltext		Edinburgh University Press	Monograph	2014-01-29 00:00:00	2014-09-05 00:00:00	0	1				P
The Ethics of Writing	9780748618309	9780748628865							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628865	Burke	CBO9780748628865		fulltext		Edinburgh University Press	Monograph	2008-01-23 00:00:00	2012-09-12 00:00:00	0	1				P
The European Court of Human Rights	9780748670574	9780748670581							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748670581	Anagnostou	CBO9780748670581		fulltext		Edinburgh University Press	Monograph	2013-04-22 00:00:00	2014-04-05 00:00:00	0	1				P
The European Union and South Korea	9780748668601	9780748668618							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748668618	Harrison	CBO9780748668618		fulltext		Edinburgh University Press	Monograph	2013-02-18 00:00:00	2014-04-05 00:00:00	0	1				P
The Figure of This World	9780748684090	9780748684106							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748684106	Abbott	CBO9780748684106		fulltext		Edinburgh University Press	Monograph	2014-01-08 00:00:00	2014-09-05 00:00:00	0	1				P
The Foreign Policy of Lyndon B. Johnson	9780748640133	9780748643288							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643288	Colman	CBO9780748643288		fulltext		Edinburgh University Press	Monograph	2010-09-16 00:00:00	2012-09-12 00:00:00	0	1				P
The Future of Multicultural Britain	9780748635443	9780748635467							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748635467	Pathak	CBO9780748635467		fulltext		Edinburgh University Press	Monograph	2008-08-27 00:00:00	2012-09-12 00:00:00	0	1				P
The Girlhood of Shakespeare's Sisters	9780748655908	9780748655915							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748655915	Higginbotham	CBO9780748655915		fulltext		Edinburgh University Press	Monograph	2013-01-17 00:00:00	2013-08-05 00:00:00	0	1				P
The Gods of Ancient Greece	9780748637980	9780748642892							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748642892	Bremmer/Erskine	CBO9780748642892		fulltext		Edinburgh University Press	Monograph	2010-07-30 00:00:00	2013-08-05 00:00:00	0	1				P
The Great War on the Small Screen	9780748633890	9780748633906							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748633906	Hanna	CBO9780748633906		fulltext		Edinburgh University Press	Monograph	2009-10-20 00:00:00	2013-08-05 00:00:00	0	1				P
The Idea of Commercial Society in the Scottish Enlightenment	9780748645329	9780748645336							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645336	Berry	CBO9780748645336		fulltext		Edinburgh University Press	Monograph	2013-07-09 00:00:00	2013-10-05 00:00:00	0	1				P
The Inner Life of a Rational Agent	9780748623433	9780748626731							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748626731	Stout	CBO9780748626731		fulltext		Edinburgh University Press	Monograph	2006-04-03 00:00:00	2012-09-12 00:00:00	0	1				P
The Iraqi Novel	9780748641413	9780748685233							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748685233	Caiani/Cobham	CBO9780748685233		fulltext		Edinburgh University Press	Monograph	2013-08-23 00:00:00	2014-02-05 00:00:00	0	1				P
The Jean Baudrillard Reader	9780748627882	9780748680641							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680641	Redhead	CBO9780748680641		fulltext		Edinburgh University Press	Monograph	2008-01-15 00:00:00	2013-08-05 00:00:00	0	1				P
The Judicial Imagination	9780748642359	9780748647057							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647057	Stonebridge	CBO9780748647057		fulltext		Edinburgh University Press	Monograph	2011-06-30 00:00:00	2015-02-05 00:00:00	0	1				P
The Kennedy Assassination	9780748624102	9780748630332							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630332	Knight	CBO9780748630332		fulltext		Edinburgh University Press	Monograph	2007-09-03 00:00:00	2013-08-05 00:00:00	0	1				P
The Kirk and the Kingdom	9780748644735	9780748644742							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748644742	McKay	CBO9780748644742		fulltext		Edinburgh University Press	Monograph	2011-11-04 00:00:00	2013-08-05 00:00:00	0	1				P
The Lacanian Left	9780748619801	9780748629077							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629077	Stavrakakis	CBO9780748629077		fulltext		Edinburgh University Press	Monograph	2007-07-12 00:00:00	2012-09-12 00:00:00	0	1				P
The Literary Cold War 1945 to Vietnam	9780748635276	9780748635283							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748635283	Piette	CBO9780748635283		fulltext		Edinburgh University Press	Monograph	2009-05-25 00:00:00	2012-09-12 00:00:00	0	1				P
The Literature of Pity	9780748639496	9780748691975							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748691975	Punter	CBO9780748691975		fulltext		Edinburgh University Press	Monograph	2014-03-17 00:00:00	2014-09-05 00:00:00	0	1				P
The Man-Leopard Murders	9780748625536	9780748631001							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631001	Pratten	CBO9780748631001		fulltext		Edinburgh University Press	Monograph	2007-06-19 00:00:00	2013-08-05 00:00:00	0	1				P
The Media in Scotland	9780748627998	9780748631827							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631827	Blain/Hutchinson	CBO9780748631827		fulltext		Edinburgh University Press	Monograph	2008-05-01 00:00:00	2013-08-05 00:00:00	0	1				P
The Modernist Party	9780748647316	9780748647323							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748647323	McLoughlin	CBO9780748647323		fulltext		Edinburgh University Press	Monograph	2013-03-05 00:00:00	2014-04-05 00:00:00	0	1				P
The Paul de Man Notebooks	9780748641048	9780748670178							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748670178	McQuillan/de Man	CBO9780748670178		fulltext		Edinburgh University Press	Monograph	2014-04-14 00:00:00	2014-12-05 00:00:00	0	1				P
The Persistence of the Negative	9780748638635	9780748643295							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643295	Noys	CBO9780748643295		fulltext		Edinburgh University Press	Monograph	2010-09-13 00:00:00	2012-09-12 00:00:00	0	1				P
The Phantom of Chance	9780748645152	9780748645169							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645169	Lyons	CBO9780748645169		fulltext		Edinburgh University Press	Monograph	2011-11-30 00:00:00	2012-09-12 00:00:00	0	1				P
The Philosophy of John Duns Scotus	9780748624621	9780748627257							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748627257	Vos	CBO9780748627257		fulltext		Edinburgh University Press	Monograph	2006-06-30 00:00:00	2012-09-12 00:00:00	0	1				P
The Photography of Victorian Scotland	9780748654611	9780748654628							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748654628	Simpson	CBO9780748654628		fulltext		Edinburgh University Press	Monograph	2012-09-03 00:00:00	2013-08-05 00:00:00	0	1				P
The Poetry of Jack Spicer	9780748640980	9780748677153							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748677153	Katz	CBO9780748677153		fulltext		Edinburgh University Press	Monograph	2013-01-17 00:00:00	2013-08-05 00:00:00	0	1				P
The Political Archive of Paul de Man	9780748665617	9780748665624							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748665624	McQuillan	CBO9780748665624		fulltext		Edinburgh University Press	Monograph	2012-08-06 00:00:00	2013-08-05 00:00:00	0	1				P
The Political Mind	9780748623860	9780748630226							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630226	Laird	CBO9780748630226		fulltext		Edinburgh University Press	Monograph	2008-05-20 00:00:00	2012-09-12 00:00:00	0	1				P
The Politics of Military Occupation	9780748636716	9780748636723							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748636723	Stirk	CBO9780748636723		fulltext		Edinburgh University Press	Monograph	2009-07-06 00:00:00	2012-09-12 00:00:00	0	1				P
The Politics of Postanarchism	9780748634958	9780748634972							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748634972	Newman	CBO9780748634972		fulltext		Edinburgh University Press	Monograph	2010-03-24 00:00:00	2012-09-12 00:00:00	0	1				P
The Politics of Radical Democracy	9780748633999	9780748634019							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748634019	Little/Lloyd	CBO9780748634019		fulltext		Edinburgh University Press	Monograph	2008-11-04 00:00:00	2012-09-12 00:00:00	0	1				P
The Priority of Events	9780748643592	9780748643608							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643608	Bowden	CBO9780748643608		fulltext		Edinburgh University Press	Monograph	2011-08-16 00:00:00	2012-09-12 00:00:00	0	1				P
